name,count
Tsinghua University,1223659
中关村核心区,414192
Peking University,244441
Renmin University of China,192274
Beihang University,151327
北京中央商务区,142031
北京大学医学部,124125
Olympic Forest Park,91592
华清嘉园,72896
花园路-北太平庄边界,68626
花园路-学院路边界,66932
Olympic Park,52603
南水北调中线工程总干渠,50226
锦绣馨园小区,48265
京张铁路遗址公园,45935
Chinese Academy of Agricultural Sciences,43283
中国科学院大学（中关村校区）,42604
清华园-东升边界,41872
Minzu University of China,39148
西单商业区,36377
"Institute of Physics, Chinese Academy of Sciences",35500
香山公园,33705
静淑苑,33304
中广·宜景湾,33128
Beijing Normal University (BNU),29852
Summer Palace,29824
清华科技园,25750
Old Summer Palace Park,25426
知春路,25269
Kunming Lake,25150
University of Science and Technology Beijing,21800
清华园-中关村边界,21037
北京金融街,21004
风林绿洲,20495
Beijing Botanical Garden,20288
护城河（已盖板）,18436
Chaoyang Park,17908
北京热力,16498
Zhongguancun Plaza,16496
五道口,16358
龙形水系,14133
元大都城垣遗址公园,13147
Beijing Forestry University,13087
花园路-中关村边界,12951
Beihai Park,12855
Beijing 798 Art District,12391
"DaYunCun, Dorms",12001
锦秋家园,11746
北京龙韵国际公园,11689
中国科学院电子科学研究所,11097
Yuyuantan Park,10940
中坞公园,10831
Sigma Building,10651
锦秋国际大厦,10058
中关村322号楼,10025
Beijing Zoo,9894
Beijing Sport University,9616
Beijingbei Railway Station,9613
北小河,9516
玉桥南里南区,9458
清春一回;清春二回,8749
东王庄小区,8721
奥海,8387
北京中科启元学校,8019
和光里,7930
海淀路社区,7870
金隅国际,7712
University of International Business and Economics,7340
"Institute of Chemistry, Chinese Academy of Sciences",7106
晨月园,7052
建国门桥,6996
北京青年城,6940
Beijing Western Hills National Forest Park,6845
总部基地12区,6677
Beijing West Railway Station,6620
南湖,6461
阜成路八号院 航天小区,6392
"Institute of Mechanics, Chinese Academy of Sciences",6180
清华园-青龙桥边界,6154
潮白河,6103
Beijing Institute of Technology (BIT),6061
CapitaMall Xizhimen,6024
郦城三区,5872
"PBC School of Finance, Tsinghua University",5860
QiXingYuan Residential Area,5838
北京西站,5822
China Foreign Affairs University,5797
China Agricultural University - East Campus,5585
一亩园社区,5575
西王庄小区,5414
南锣鼓巷,5319
Wangjing West Transport Hub,5243
东方新天地,5219
Nanhaizi Park,5164
Hengxing Mansion,5123
东方时尚驾校,5109
北京新丰汽车驾驶学校,5093
Beijing Union University (Beishihuan Campus),5048
北京大学生体育馆,5041
新科祥园,4887
融科资讯中心C座,4823
Beijing EMU Depot,4782
中国科学院国家空间科学中心（九章大厦B座）,4764
Dongzhimen Hospital,4738
海淀文化艺术大厦,4677
空军航空医学研究所附属医院,4675
Beijing Xijiao Airport,4615
海淀交通支队中关村大队,4526
富盛大厦,4468
Beijing Jiaotong University,4468
University of Chinese Academy of Sciences (Yuquanlu Campus),4450
苏州河,4385
China University of Geosciences at Beijing,4318
Zizhuyuan Park,4208
R&W Park,4186
北京华贸中心,4081
转河,4048
中关村e世界,4041
Beijing Language and Culture University,3981
Northern Territory,3950
光大名筑园,3893
Forbidden City Moat,3797
望和公园南园,3725
王庄公园（西区）,3703
花家地西里,3665
Taikoo Li Sanlitun South,3585
"Zhongguancun Campus, University of Chinese Academy of Sciences",3523
东源停车场,3501
北京市机动车驾驶员培训学校,3390
中国科学院东南小区,3386
Imperial City,3342
Haidian Park,3092
海淀区中关村第二小学华清校区,3057
北京卫星制造厂,2974
"Institute of Acoustics, Chinese Academy of Sciences",2973
大钟寺站,2925
机械工业信息研究院,2809
蓝旗营教师住宅区,2762
学院路科技园B地块B23研发设计用地,2760
总部基地11区,2722
中国国际展览中心,2692
China Aviation Tech Building,2688
北重阿尔斯通(北京)电气装备有限公司,2687
消夏东里,2687
达园,2647
High School Affiliated to Renmin University,2638
中国航天空气动力技术研究院,2618
Beijing Friendship Hotel,2618
志新村小区,2595
北京重型电机厂,2568
Xiamen Commerce Hotel,2526
文华楼,2518
自动化大厦,2495
海淀丰台界线,2481
"College of Arts and Design, Beijing University of Technology",2461
Chengfu Yuan,2439
中汇广场,2405
IKEA,2382
万泉河,2378
中国电影博物馆,2342
求是楼,2342
八家嘉园,2305
Capital Normal University,2303
北京六建家属院,2294
Huixinli Community,2255
马甸公园,2217
世纪金源购物中心,2197
金铸阳光苑,2192
中国工商银行海淀支行,2123
万柳亿城中心,2109
Solana Blue Harbor Mall,2107
华源世纪商务楼,2097
双桥站,2042
Centergate Como,2032
北京香颂二期,2031
Ritan Park,2003
声学所节能小区,1999
北航科技园,1977
北旱河,1962
大运村公交场站,1949
惠博嘉园,1948
塔院消夏园,1929
Houhai Lake,1926
石油化工科学研究院,1925
Anlilu,1885
育慧里二区,1872
地铁17号线太阳宫站,1857
中国人民解放军军事科学院,1842
北京东站,1842
Peking University Hospital of Stomatology,1817
Beijing University of Civil Engineering and Architecture - Xicheng Campus,1797
Changchun Xin Yuan of Peking University,1753
亚林西居住区,1747
China Daily Newspaper Press,1729
北京地铁12号线 和平西桥站,1720
Chaolai Forest Park,1715
中国人民解放军总医院第七医学中心,1708
China Youth University of Political Studies,1689
北航世宁大厦,1664
雍和宫,1663
拂林园,1630
北辰绿色中央公园,1626
Beijing Foreign Studies University,1620
龙湖唐宁one,1617
紫金数码园5号楼,1604
国家奥林匹克体育中心,1604
塔院迎春园,1603
第七街区,1585
华严北里小区,1583
鹿港嘉苑,1568
Beijing University of Posts and Telecommunications,1546
永定路东街5号院,1539
National Library of China,1539
华清商务会馆,1526
新起点嘉园,1518
北京市八一学校,1495
Qing river,1491
保利·香槟花园,1487
Military Museum of the Chinese People's Revolution,1486
银网中心,1476
世纪森林公园,1472
中国人民解放军总医院第六医学中心,1470
"National Botanical Garden, Chinese Academy of Sciences",1453
WangJing West 4th Neighborhood,1443
科馨社区,1438
Taiyanggong Park,1435
China University of Mining and Technology at Beijing,1425
东源大厦,1421
Jingshan Park,1399
空军南苑场站,1395
南礼士路公园,1379
怡升园,1374
Yu River,1370
北京万寿康医院,1368
领航科技大厦（原中国艺术品大厦）,1352
Interwest International (Zhu Yu International),1325
望京西站,1316
学院路科技园A地块B4综合性商业金融服务业用地,1312
红领巾公园,1305
月坛公园,1304
程庄路3号院,1299
时雨园,1281
万柳怡水园,1273
"National Space Science Center, CAS",1267
The General Hospital of the People's Liberation Army,1265
Zicheng Jiayuan,1262
北京市中关村医院,1252
"Fu Xing Hospital, Capital Medical University",1228
中关村海关辑私分局,1225
六道口,1214
Central Park Square,1205
东湖·欢乐颂,1202
中国人民解放军海军总部,1196
Peking University Third Hospital,1195
清河收费站,1190
宣武门路口,1180
Science Building No. 1,1177
蓝景丽家 大钟寺家居广场,1176
北京天纬燃油喷射技术股份有限公司,1174
怡佳家园,1170
清缘里中区,1157
中央民族乐团,1152
北京医院,1149
新纪家园,1147
北京展览馆,1141
小月河,1137
京客隆购物中心（甜水园店）,1131
Gateway Plaza,1128
Datunlu East,1127
百万庄辰区,1119
Prince Fu's Mansion,1119
国瑞城,1118
Capital Normal University - North Campus 2,1105
Xiaoyue River,1100
GuoAocun,1083
石科院生活区,1081
北京市西城外国语学校（高中部）,1068
火箭军特色医学中心,1064
金尚嘉园,1060
Viva Mall,1059
Sinopec,1044
二里庄小区,1043
Sillicon Valley Bright City,1020
北京六建医院,1018
中国计划生育委员会,1017
