name,count
静淑苑,30535
Beijing Forestry University,5388
Tsinghua University,2674
西王庄小区,2389
Beijing Normal University (BNU),2021
清华园-东升边界,1219
京张铁路遗址公园,1080
"PBC School of Finance, Tsinghua University",789
华清嘉园,469
清春一回;清春二回,413
China University of Mining and Technology at Beijing,375
University of Chinese Academy of Sciences (Yuquanlu Campus),370
东升大厦C座,343
清华东路27号院,317
东王庄小区,313
王庄公园（西区）,301
王庄公园（东区）,236
Northern Territory,156
Liquid Crystal Bldg,154
五道口,154
Beijing Language and Culture University,149
清华科技园,132
华源世纪商务楼,109
Xijiao Hotel,102
China Agricultural University - East Campus,92
北京市海淀区第三实验小学（北校区）,70
Beijingbei Railway Station,67
六道口,67
清华同方科技广场,62
Beihang University,60
东源停车场,55
BOM嘻番里,53
未来之星实验幼儿园,50
明光村小区,50
学院路15号院北京语言大学家属区,46
东源大厦,42
华清商务会馆,41
"Institute of Mechanics, Chinese Academy of Sciences",39
Sinopec,34
王庄路15号院,32
北京大学物理学院技术物理系技术物理研究所,22
东升派出所,20
科馨社区,19
王庄路27号院,19
China University of Geosciences at Beijing,19
柏儒苑,18
元大都公园明光村小区处,17
中国科学院电子科学研究所,17
知春路,16
Xizhimen,15
元大都城垣遗址公园,15
海淀区中关村第二小学华清校区,13
中冶集团建筑研究总院,10
保利海德公园,8
中关村768创意产业园,7
中关村核心区,7
中国信息通信研究院,7
水清木华园,6
中关村中学蓟门里,6
王庄路小区,6
石油化工科学研究院,5
花园路-中关村边界,5
清华园-中关村边界,4
枫蓝国际中心,4
"Institute of Process Engineering, Chinese Academy of Sciences",3
护城河（已盖板）,3
王庄路18号院,3
中关村e世界,3
清华大学玉泉医院（清华大学中西医结合医院）,3
大钟寺站,3
转河,3
北京林大林业科技股份有限公司,2
Zhongguancun Plaza,2
Centergate Como,2
三顷园,1
中国科学院档案馆,1
China University of Political Science and Law,1
五道口嘉园,1
锦秋家园,1
东升园公寓,1
