name,count
中坞公园,10831
中关村核心区,8994
北京中央商务区,2305
Beijing EMU Depot,1739
亚林西居住区,1737
南水北调中线工程总干渠,1022
Beijing Xijiao Airport,1000
琨御府,533
花园路-学院路边界,509
Chinese Academy of Agricultural Sciences,467
Beihang University,466
建国门桥,360
Tsinghua University,355
团城湖调节池,321
北坞公园,264
东城区和平里第九小学,233
Zhongguancun Plaza,222
海淀路社区,195
Peking University,187
北京金融街,179
Haidian Park,171
Old Summer Palace Park,167
万柳高尔夫球场,155
华严北里小区,145
望和公园南园,138
护城河（已盖板）,133
中国人民解放军95968部队,132
鸿业兴园一区,130
Yu River,117
中认大厦,115
首城国际B区,112
劲松一区,111
中国社会科学院,111
Renmin University of China,109
北二环城市公园,109
明日嘉园,108
花园路-北太平庄边界,107
中关村e世界,101
清华科技园,97
圆明天颂,96
船营公园,93
京张铁路遗址公园,88
清华园-东升边界,85
玉泉慧谷一期,84
北小河,80
南湖,79
Beijing Friendship Hotel,78
清华园-中关村边界,77
嘉园二里,73
北京市海淀区人民政府,71
新科祥园,71
西四环中路41号院,71
嘉河公园,70
Sillicon Valley Bright City,68
美克洞学馆,64
百万庄辰区,64
High School Affiliated to Renmin University,63
清华园-青龙桥边界,58
中关村军民融合产业园,57
空军指挥学院,55
No. 2 theme park planning land,55
北航世宁大厦,53
马草河,51
Summer Palace,51
西成忆树,50
Gateway Plaza,49
解放军空军参谋部,49
海淀丰台界线,49
Hotel Planning Land No. 5B,48
内环西路口,47
Haidian Wuluju,47
计量科学院家属院,47
玺萌一号院,46
九龙花园,45
海淀文化艺术大厦,44
盛芳国际花卉总部基地,43
亿朋苑1区,43
Chaoyang Park,41
丰辰加油站,40
晨月园,40
两山公园,39
Beijing Zoo,39
海鹰路东口,39
朝来科技产业园西区,37
朝阳师范学校附属小学本部,37
玺萌丽苑,36
Beijing Institute of Technology (BIT),36
淳化合坤(北京)物流中转仓,35
常青园路886号,35
"Olympic Village Science Park, CAS",35
北京市西城外国语学校（高中部）,32
清春一回;清春二回,32
中海甲三号院,32
中国科学院地质与地球物理研究所,31
THE BOX朝外年轻力中心,31
The Institute of Geographic Sciences and Natural Resources Research,31
北四环东路115号院,30
"Beijing Children's Hospital, Capital Medical University",30
影湖楼公园（原玉泉郊野公园）,28
五棵松万达广场,27
Sinopec,27
嘉园一里,26
百万庄卯区,26
Classic Furtniture,25
北京按摩医院朝阳院区,25
