name,count
Beijing Forestry University,4021
静淑苑,2526
中关村核心区,1696
清春一回;清春二回,417
花园路-北太平庄边界,391
Beihang University,387
柏儒苑,336
花园路-学院路边界,307
Taikoo Li Sanlitun South,306
京张铁路遗址公园,246
中电投大厦,242
Zhongguancun Plaza,127
Forbidden City Moat,105
东方新天地,100
"Institute of Physics, Chinese Academy of Sciences",88
护城河（已盖板）,79
大华花园别墅,74
北京林大林业科技股份有限公司,74
花园路-中关村边界,74
知春路,70
Renmin University of China,62
清华同方科技广场,59
三里屯3·3,54
王庄路27号院,54
万柳书院,52
China University of Geosciences at Beijing,51
王庄路15号院,50
北京市八一学校,49
盈科中心,43
Beijing apm,39
清华园-东升边界,35
五道口,33
元大都城垣遗址公园,33
稻香园西里,31
中国农业大学,30
王府井淘汇新天购物广场,30
"Institute of Mechanics, Chinese Academy of Sciences",27
维亚大厦,27
艾瑟顿国际公寓,27
中关村e世界,24
东源停车场,24
北京城建四公司,24
丰益花园,24
China Agricultural University - East Campus,23
北京卫星制造厂,22
美华·海润大厦,21
Beijing Foreign Studies University,21
万柳车辆段,21
Peking Union Medical College Hospital,18
王庄路小区,18
Beijing Language and Culture University,18
圣熙8号购物中心,18
北京华联万柳购物中心,18
北京市海淀区妇幼保健院东南院区,17
燕归园,15
锦秋家园,15
北京明远教育书院实验小学（知语城校区）,14
北京维景国际大酒店,13
Xiaoyue River,13
中华人民共和国武装警察部队总部,13
"PBC School of Finance, Tsinghua University",13
六道口,12
中关村北二条甲1号院,12
Community wall,11
首开国风尚樾,11
DRC,9
海淀区中关村第二小学华清校区,9
海淀丰台界线,9
工美大厦,8
中关村海关辑私分局,8
"Zhongguancun Campus, University of Chinese Academy of Sciences",8
A座,8
巴沟公园,8
Olympic Park,8
北京市朝阳区实验小学三里屯分校,7
万泉河,7
对外经济贸易大学附属中学高中部（北京市第九十四中学）,7
35号楼,7
中建壹品·学府公馆,7
小月河,7
北京教育学院海淀分院,7
万城华府玺园,6
新科祥园,6
花园桥地铁6号线,6
6号楼,6
1号楼,6
Wall For Beijing Forestry University Property,6
万城华府龙园,5
Tongli Studio,5
Xidan,5
中关村768创意产业园,5
中国科学院东南小区,5
骏马大酒店,5
转河,5
ECO 中科爱克,5
东升派出所,5
南长街南口,5
马草河,4
丰益桥,4
Yu River,4
大运村公交场站,4
Yandai Byway,4
府右街南口,4
Meridian Gate,3
地铁知春路站,3
国家自然科学基金委,3
Naoshikou,3
名商大厦,3
颐和园-紫竹院-动物园  摆渡船,3
中关村945号楼,3
中国卫星通信大厦,3
中科资源大厦,3
Sigma Building,3
The Saddle Cantina,3
地铁施工竖井,3
daoxiangcun,2
中国工商银行海淀支行,2
Carmen,2
丰草河,2
22号楼,2
知春嘉园2号楼,2
融科资讯中心C座,2
太月园小区,2
Beijing People's Art Theatre,2
FamilyMart,2
Jinding Bridge,2
Waijinshui River,2
万泉新新家园,1
王庄公园（西区）,1
北京市海淀区第三实验小学（北校区）,1
Former Site of Peking Union Medical College,1
大明濠,1
WF CENTRAL,1
知春嘉园4号楼,1
Yinding Bridge,1
Nali Patio,1
东源大厦,1
