name,count
Minzu University of China,16348
Renmin University of China,1411
北京西站,375
北京热力,257
Beijing Institute of Technology (BIT),149
文华楼,148
知春路,115
Beijing West Railway Station,100
京张铁路遗址公园,53
Beijing Foreign Studies University,41
北京市海淀区妇幼保健院东南院区,38
护城河（已盖板）,37
Peking University Hospital of Stomatology,33
1号学生公寓,28
中关村核心区,26
花园路-中关村边界,26
中央民族大学附属中学,21
名商大厦,20
北京机务段北京西运用车间,19
High School Affiliated to Renmin University,18
北京舞蹈学院,16
Xiamen Commerce Hotel,15
海淀区中关村第四小学,15
北京市第十九中学,14
Lianhuachi Park,14
Beijingxi Depot,12
National Library of China,12
稻香园西里,8
Meteorological Bureau,8
北京·国际,8
北京西站南广场,7
海淀丰台界线,7
Yayuan Apartment,7
西三环北路82号院,6
Beijing Friendship Hotel,6
北京外国语大学附属小学（万寿寺校区）,5
丽金智地中心,5
冬奥公园,5
The China Millennium Monument,4
中国人民大学北校区,4
Suyuan Apartment,3
国防大学军事文化学院,3
元大都城垣遗址公园,2
花园桥地铁6号线,2
1号楼,2
6号楼,2
北京卫星制造厂,2
北京外国语大学医院,2
中华人民共和国武装警察部队总部,2
北京外国语大学附属小学（魏公村校区）,1
民大图书馆,1
牤牛河,1
长辛店城市森林公园,1
北京市汇文第一小学,1
北京站出租车停车场,1
万寿寺甲3号院,1
Capital Normal University,1
国宜广场,1
槐树岭1号院,1
大运村公交场站,1
