name,count
Chaoyang Park,1769
北京大学生体育馆,1126
清华园-东升边界,1101
京张铁路遗址公园,1056
花园路-中关村边界,1007
知春路,962
中关村核心区,961
南锣鼓巷,678
五道口,647
University of International Business and Economics,508
Beijing Western Hills National Forest Park,264
花园路-北太平庄边界,197
"College of Arts and Design, Beijing University of Technology",140
建国门桥,112
Solana Blue Harbor Mall,110
Datunlu East,101
东源停车场,99
大钟寺站,95
Beijing apm,85
Huixinli Community,79
Sigma Building,76
Water Lily Lake,69
护城河（已盖板）,62
富盛大厦,52
北郊灌瓶厂,43
中国社会科学院,43
东方新天地,42
Qing river,42
元大都城垣遗址公园,42
花园路-学院路边界,41
北京东升花园中心,38
北小河,30
珍贝大厦,28
北京鸿华国际高尔夫球会,28
北京热力,27
Yandai Byway,25
Chaolai Forest Park,24
Beijing Xijiao Airport,20
小月河,19
大运村公交场站,19
如苑公园,18
裕华民族大厦,18
中关村e世界,18
北京轨道交通13号线扩能提升工程土建施工20合同段项目经理部,17
清陆军部和海军部旧址,16
芍药居站,16
清华科技园,15
武警指挥学院,15
Tsinghua University,15
望京西站,14
Lotus Lake,14
地铁知春路站,13
北苑1号院 中国人民解放军63961部队,12
北京市第五中学分校（地安门校区）,10
Xiamen Commerce Hotel,10
南门,9
三顷园,9
北京穆斯林大厦,9
Ark Lake,8
旱河,8
京达国际公寓,7
Jiangguomen Diplomatic Compound,7
海淀交通支队中关村大队,7
中国医科大学航空总医院,7
蓝旗营教师住宅区,7
North Lake,6
建国门健身乐园,6
Nanluoguxiang,6
紫金数码园5号楼,6
物理学院楼,6
西王庄小区,5
Beijing Mall,5
China Aviation Tech Building,5
北京市东城区人民检察院,5
玉河遗址,4
Yinding Bridge,4
清华园-青龙桥边界,3
北京市第五中学分校（鼓楼校区）,3
"National Botanical Garden, Chinese Academy of Sciences",3
北京市人民检察院,3
中关村海关辑私分局,3
Beida Qingniao,3
一亩园社区,3
融寓,3
Old Summer Palace Park,2
北京北辰高尔夫球会,2
中国计划生育委员会,2
Accelerator Building of Peking University,2
Beijing Sport University,2
声学所节能小区,1
蓝景丽家 大钟寺家居广场,1
北苑小区,1
Haidian Park,1
Beijing Purple Jade Villas,1
清华志清中学,1
以岭大厦,1
大明濠,1
清华园-海淀边界,1
长安大戏院,1
北旱河,1
中国标准化研究所,1
