name,count
香山公园,2246
雍和宫,766
Peking University,647
Chinese Academy of Agricultural Sciences,623
北小河,544
Liuyin Park,455
东王庄小区,389
Sigma Building,376
Olympic Park,344
Wangjing Huayuan (West),220
Anzhen Yongxi Park,211
Integrated Science Research Center No. 1,186
北旱河,124
京张铁路遗址公园,117
保利广场,104
王庄路18号院,102
中国人民解放军军事科学院,100
Summer Palace,98
中国科学院大学（中关村校区）,89
新科祥园,86
Beijing Language and Culture University,78
清华园-东升边界,72
花园路-学院路边界,71
中国科学院东南小区,70
"PBC School of Finance, Tsinghua University",68
清华科技园,62
"Beijing Anzhen Hospital, Capital Medical University",62
清华园-中关村边界,58
中国林业科学研究院,53
花园路-中关村边界,49
海淀路社区,48
知春路,45
Beijing apm,43
一亩园社区,43
National Art Museum,42
Old Summer Palace Park,40
中国科学院科学园小区,38
Anlilu,38
中关村核心区,38
王府井银泰in88,36
解放军三〇六医院,34
清春一回;清春二回,29
元大都城垣遗址公园,29
北宫门站,29
东升园公寓,28
中国卫星通信大厦,27
声学所节能小区,27
风林绿洲,26
安贞拾光,25
东源大厦,24
五道口,23
紫金数码园5号楼,21
Macau Center,20
旱河,20
"National Botanical Garden, Chinese Academy of Sciences",20
六道口,19
海淀区中关村第二小学华清校区,19
华清嘉园,18
求实职业学校(望京校区),18
中国石油勘探开发研究院,17
"Institute of Physics, Chinese Academy of Sciences",16
Central Party School of the Communist Party of China,15
Northern Territory,15
大运村公交场站,15
北京市中关村中学,14
怡升园,13
辰芳园,13
叶青大厦,12
海淀交通支队中关村大队,11
Tianlun Dynasty Hotel,11
香山颐和宾馆,11
北京卫星制造厂,11
遗光寺3号院 军科院家属区,11
China University of Geosciences at Beijing,9
Beijing People's Art Theatre,9
煤厂街27号院西院,8
博创后院,8
东升派出所,8
万泉河,7
Hengxing Mansion,7
北京首农香山会议中心,7
塔院城市森林公园北园,7
自动化大厦,7
东方新天地,7
东源停车场,7
北京市八一学校附属玉泉中学,6
University of Science and Technology Beijing,6
花园路-北太平庄边界,5
龙形水系,5
科学园七区,4
地铁12号线区间竖井,4
Peking Union Medical College Hospital,4
工美大厦,4
FamilyMart,3
"DaYunCun, Dorms",3
Sinar Mas Life Sciences Building,3
张家坟干渠,3
Taiyanggong,3
中关村北二条甲1号院,3
北京联合大学外馆斜街校区,3
中国社会科学院台湾研究所,3
燕归园,2
Chengfu Yuan,2
二里庄小区,2
中关村912号楼,2
北京燃气集团五路居次高压A站,2
中关村945号楼,2
Qing river,2
Wenyu River,2
北二环城市公园,2
中关村911号楼,2
蔚秀园,2
世纪科贸大厦A座,2
中国科学院电子科学研究所,1
北投购物公园,1
浙江大厦,1
中央军委科学技术委员会,1
华清商务会馆,1
领航科技大厦（原中国艺术品大厦）,1
北京地铁12号线安华桥站,1
Science Building No. 3,1
中国教育科学研究院朝阳实验学校（小学低部）,1
