name,count
中关村核心区,1853
Beihang University,407
花园路-北太平庄边界,155
京张铁路遗址公园,59
Zhongguancun Plaza,57
Chinese Academy of Agricultural Sciences,51
建国门桥,44
知春路,27
北京卫星制造厂,23
Centergate Como,21
北航科技园,20
中科大厦B座,19
海淀文化艺术大厦,17
High School Affiliated to Renmin University,15
北京中央商务区,15
海淀交通支队中关村大队,14
中关村e世界,14
"PBC School of Finance, Tsinghua University",12
花园路-中关村边界,11
中国卫星通信大厦,11
Beijing apm,9
大运村公交场站,8
东源大厦,8
北京金融街,7
中国计划生育委员会,7
锦秋国际大厦,6
Renmin University of China,6
清春一回;清春二回,5
"Institute of Physics, Chinese Academy of Sciences",5
中国标准化研究所,5
Sinopec,4
已拆,4
京东科技大厦（原翠宫饭店）,4
中国工商银行海淀支行,3
"DaYunCun, Dorms",3
中关村海关辑私分局,3
紫金数码园5号楼,2
银网中心,2
The Affiliated High School of Peking University,2
锦秋家园,2
北京市八一学校,2
坤讯大厦,1
中关村913号楼,1
