name,count
Peking University,101899
中关村核心区,11787
Tsinghua University,5374
北京大学医学部,3076
清华园-中关村边界,2284
一亩园社区,2053
海淀路社区,2003
Old Summer Palace Park,1783
达园,1729
Renmin University of China,1654
花园路-学院路边界,1102
北京中央商务区,826
China Youth University of Political Studies,575
Yuyuantan Park,574
University of Science and Technology Beijing,542
Shougang Industrial Relics Park,532
清华科技园,515
清华园-青龙桥边界,491
Chengfu Yuan,442
蓝旗营教师住宅区,428
Olympic Park,420
花园路-北太平庄边界,372
Gateway Plaza,350
西单商业区,334
58号楼,315
Beijing Sport University,309
万泉河,303
Science Building No. 1,298
"Institute of Mechanics, Chinese Academy of Sciences",269
"Institute of Physics, Chinese Academy of Sciences",257
Shang Di Dong Li,251
Centergate Como,250
护城河（已盖板）,244
京张铁路遗址公园,239
Beihang University,237
Sillicon Valley Bright City,222
Shougang Industrial Relics Sorth Area,209
"PBC School of Finance, Tsinghua University",201
Taikoo Li Sanlitun South,200
龙形水系,189
北京市八一学校,185
清华园-东升边界,180
畅春园·食街（装修中）,150
北京金融街,149
蔚秀园,138
中关村e世界,138
战略支援部队网络系统部第十局 61886部队,138
Peking University Library,128
Jing-Mi Waterduct,125
Zhongguancun Plaza,122
Beijing Language and Culture University,120
Changchun Xin Yuan of Peking University,118
Beijing Normal University (BNU),116
中国科学院东南小区,116
Beijing West Railway Station,111
22楼,108
Imperial City,108
转河,107
Chinese Academy of Agricultural Sciences,106
海淀区中关村第二小学,106
21楼,105
元大都城垣遗址公园,96
Chang Chun Yuan Dining Hall,95
24楼,89
阳光·丽景北区,87
China University of Geosciences at Beijing,84
华清嘉园,84
Bank of Beijing,84
南水北调中线工程总干渠,82
长城电脑大厦,81
Northern Territory,80
五道口,77
"Bldg No. 1, Guanghua School of Management",76
Peking University Third Hospital,73
挂甲屯社区（拆迁中）,72
清华园-海淀边界,71
High School Affiliated to Renmin University,69
新科祥园,68
Resource Hotel,64
东源大厦,62
北京地铁12号线马甸桥站,59
中国人民解放军国防大学,59
Ministry of Transportation PRC,59
清春一回;清春二回,58
Summer Palace,55
太平湖车辆段,55
Interwest International (Zhu Yu International),52
Science Building No. 2,52
物理学院楼,51
北京地铁12号线 和平西桥站,50
Beijing University Of Chemical Technology,50
东方新天地,49
大恒科技大厦,49
华严北里小区,48
科馨社区,46
Sinar Mas Life Sciences Building,45
志新村小区,45
计量科学院家属院,44
18号楼,43
Changchun Xinyuan Sports Recreative Square,42
瀛泽苑,41
North Star Continental Grand Hotel,40
国家奥林匹克体育中心,40
知春路,39
花园路小区,39
北小河,37
Peking Union Medical College Hospital,36
海淀丰台界线,34
北航世宁大厦,34
中国人民解放军总医院第七医学中心,33
北京地铁12号线安华桥站,33
北科塔院小区,32
Xiamen Commerce Hotel,32
中央党校研究生院,32
潭西胜境公园,32
Military Museum of the Chinese People's Revolution,31
远大园五区,30
Beihai Park,29
Peking University Press,29
中国建筑科学研究院,28
中国石化大厦,27
Olympic Forest Park,26
Beijing Zoo,26
中华人民共和国农业农村部,26
海淀文化艺术大厦,26
Science Building No. 5,25
二河开地区,25
