name,count
Renmin University of China,3082
中关村核心区,681
Old Summer Palace Park,243
Peking University,72
海淀高等职业教育学院,68
万泉新新家园,51
南水北调中线工程总干渠,50
Zhongguancun Plaza,47
High School Affiliated to Renmin University,45
Shang Di Dong Li,42
北京市第十九中学,36
Boyaxiyuan,30
Tsinghua University,30
Chinese Academy of Agricultural Sciences,27
北京大学医学部,26
缘溪家园,25
北京市八一学校,24
Beijing Institute of Technology (BIT),23
Minzu University of China,22
满庭芳园,18
战略支援部队网络系统部第十局 61886部队,14
名商大厦,13
求是楼,13
陆军装甲兵学院,12
花园路-北太平庄边界,12
苏州街33号公寓,10
中国人民大学北校区,10
人大附中实验小学,10
佃起,10
二河开地区,10
豪景大厦,9
Yuyuantan Park,9
Wangjing Hospital,9
国家奥林匹克体育中心,8
农大南路2号院,8
七彩华园,8
清华园-青龙桥边界,8
太阳宫公园,7
Yayuan Apartment,7
Haidian Park,7
花家地小区,7
北京卫星制造厂,7
海淀路社区,6
知春嘉园2号楼,6
望和公园南园,6
武警北京总队第17支队东家属院,6
Sigma Building,6
花家地西里二区,6
China Ethnic Museum,6
童欣幼儿园,5
Beijing Sport University,5
国家行政学院,5
Sillicon Valley Bright City,5
香山清琴山庄,4
中国人民解放军国防大学,4
Beijing Yanshan Hotel,4
中国人民解放军军事科学院,4
中国林业科学研究院,4
西藏大厦,4
专利局家属院(安徽大厦西),4
万柳高尔夫球场,4
Olympic Park,4
Beijing Western Hills National Forest Park,4
Beijing Foreign Studies University,4
对外经济贸易大学附属中学初中部,4
Zizhuyuan Park,3
海淀区西颐小学,3
People's Education Press,3
北极寺小区,3
护城河（已盖板）,3
金隅国际,3
大宁水库,3
Nanhaizi Park,3
望京花家地西里三组团配套综合楼1006-605地块B4商业金融用地项目,3
苏州街,2
Centergate Como,2
花家地北里5号楼,2
6号楼,2
龙形水系,2
妙云寺公园,2
园外园生态环境提升四期东西红门片区,2
北京市海淀区妇幼保健院东南院区,2
The Affiliated High School of Peking University,2
西山庭院,2
幸福花园,2
树村郊野公园,2
北京建设大学,2
镶黄旗公园,2
丰泽盈和小区,2
Beihang University,1
旧宫镇0102地块,1
北蜂窝路5号院,1
牤牛河,1
海淀区羊坊店中心小学,1
大恒科技大厦,1
朱家坟一里,1
Dazhong Temple,1
国际传播大厦,1
Diaoyutai National Guesthouse,1
双安商场,1
花家地北里16号楼,1
万寿寺甲3号院,1
Wenyu River,1
中兴家园,1
中国人民解放军总医院第六医学中心,1
元大都城垣遗址公园,1
学府树家园-五区,1
北京大学万柳学区,1
新纪元家园,1
Bank of Beijing,1
首都师范大学附属实验学校（花西校区）,1
University of International Business and Economics,1
"DaYunCun, Dorms",1
伊藤洋华堂,1
光大花园,1
