name,count
北京热力,1547
知春路,1146
京张铁路遗址公园,651
南水北调中线工程总干渠,580
北京中央商务区,574
花园路-中关村边界,493
Tsinghua University,314
花园路-北太平庄边界,251
花园路-学院路边界,251
Xiamen Commerce Hotel,244
中国五矿大厦,240
北区,216
中国科学院电子科学研究所,216
海淀区星火小学,192
Imperial City,168
"Institute of Physics, Chinese Academy of Sciences",152
太月园小区,142
锦秋家园,122
中国音乐学院附属北京实验学校安慧里校区（低部）,114
亚运村全民健身园,110
中国社会科学院大学（望京校区）,78
佳境天城,64
中关村核心区,60
Beijing Normal University (BNU),55
"Institute of Mechanics, Chinese Academy of Sciences",49
"Institute of Acoustics, Chinese Academy of Sciences",43
将府公园,38
China University of Geosciences at Beijing,37
北京大型养路机械运用检修段,33
法制日报社,30
护城河（已盖板）,29
左家庄东里,29
建国门桥,28
东郊森林公园,27
"DaYunCun, Dorms",24
明光村棚户区改造,24
Dazhong Temple,24
西王庄小区,23
北京金融街,21
元大都城垣遗址公园,20
疃里集租房,16
北航科技园,16
清春一回;清春二回,16
五道口嘉园,16
中国化工大厦,15
北土城西路小区,14
科丰热力供应中心,13
国家奥林匹克体育中心,13
安苑北里,13
大运村公交场站,11
"PBC School of Finance, Tsinghua University",10
海淀区中关村第四小学,9
左家庄北里西区（左家庄二居民区）,9
静安苑,9
东源大厦,8
望京沟,8
北小河,8
北京市朝阳外国语学校亚运村校区,7
Beihang University,6
Hengxing Mansion,6
南长街南口,6
Dongdan,5
Wenyu River,5
中国计划生育委员会,5
北京站街北口,4
Sigma Building,4
China Unicom,4
Nanheyan,4
惠兰美居公园,4
海鹰路东口,4
小中河,4
Chinese Academy of Agricultural Sciences,4
航南大厦A座,3
中坝河,3
清华园-东升边界,3
中国科学院北郊南住宅区,3
知春嘉园3号楼,3
Wangfujing,3
府右街南口,3
文慧园10号楼,2
Zhongnanhai,2
中华人民共和国自然资源部(西四办公区),2
自动化大厦,2
China Aviation Tech Building,2
航南大厦B座,2
坤讯大厦,2
转河,2
诸园,2
内环西路北口,2
北京市社会科学院,2
知春嘉园4号楼,2
Olympic Park,1
知春路大球场,1
青年路沟,1
Quatum Plaza,1
亚运村社区卫生服务中心,1
中国卫星通信大厦,1
巴音郭楞自治州驻北京联络处,1
加利大厦,1
