name,count
中关村核心区,1109
Zhongguancun Plaza,56
海淀文化艺术大厦,50
The Affiliated High School of Peking University,33
中关村e世界,24
Sigma Building,22
China Aviation Tech Building,20
领航科技大厦（原中国艺术品大厦）,18
Dazhong Temple,17
Crowne Plaza Beijing Zhongguancun,10
知春路,10
银网中心,7
豪景大厦,7
北京卫星制造厂,5
北京热力,3
Jingyi Sci-Tech Building,3
中国卫星通信大厦,3
人大附中实验小学,3
中关村海关辑私分局,3
蔚秀园,2
博创后院,2
花园路-北太平庄边界,1
航天恆星大廈,1
万泉河绿地,1
Changchun Xinyuan Sports Recreative Square,1
知春公园,1
海淀交通支队中关村大队,1
"Institute of Physics, Chinese Academy of Sciences",1
