name,count
定慧东里,100
Interwest International (Zhu Yu International),25
CNIC,14
Renmin University of China,13
Chinese Academy of Agricultural Sciences,9
Beijing Institute of Technology (BIT),8
National Library of China,7
花园桥地铁6号线,7
国际传播大厦,7
Minzu University of China,6
花园路-学院路边界,6
Interwest (Zhu Yu Cheng),5
领航科技大厦（原中国艺术品大厦）,4
北京市第十九中学,4
紫金数码园5号楼,4
Beijing University of Posts and Telecommunications,3
Sigma Building,3
西三环北路82号院,3
海淀交通支队中关村大队,3
中国卫星通信大厦,3
海淀文化艺术大厦,3
总政黄寺西院,2
Suyuan Apartment,2
Peking University Hospital of Stomatology,2
Beijing Normal University (BNU),2
清华附中朝阳学校,1
Beijing Information Vocational and Technical College,1
清华大学附属中学将台路校区,1
西坝河南里小区,1
北京市第一七一中学（北校区）,1
Liuyin Park,1
Lianhuachi Park,1
八里庄,1
总政黄寺东院,1
国防大学军事文化学院,1
中国科学院大学（中关村校区）,1
人定湖公园,1
明光村棚户区改造,1
稻香园西里,1
北京市海淀区妇幼保健院东南院区,1
中国人民大学北校区,1
声学所节能小区,1
怡升园,1
Yayuan Apartment,1
冬季运动管理中心综合训练馆,1
世纪经贸大厦A座,1
马神庙小区,1
China Aviation Tech Building,1
南水北调中线工程总干渠,1
