name,count
Olympic Park,6455
北京中央商务区,1952
R&W Park,618
Chaoyang Park,270
北京市日坛中学东润分校,206
中国科学院科学园小区,179
芳园里北区,121
东润枫景,108
苹果社区北区,103
新华联锦园,93
北京华贸中心,85
生鲜超市,84
Imperial City,59
京客隆购物中心（甜水园店）,41
公园五号,36
北京市东方德才学校初中部,35
Beijing United Familiy Hospital,34
中央民族大学附属中学（朝阳校区）,32
北土城公交场站,30
护城河（已盖板）,30
万科东第,28
建国门桥,25
北京财贸职业学校,24
Palm Springs,23
大屯里小区,21
北京第一热电厂,18
北京地铁17号线东大桥站基坑,15
Chinese Academy of Agricultural Mechanization Sciences,15
Central Park Square,14
北京东站职工安置房,13
后现代城B区,12
大运村公交场站,11
Dongdan,11
远洋国际中心,11
百合春天 东山别墅,10
Beijing Purple Jade Villas,10
长桥园公寓,10
收费站办公区,10
Chateau Regency,10
Jialong International Center,9
Beihai Park,8
南门,7
天安门东南角绿地,6
京贸国际公寓,6
桔子水晶酒店,6
Qing river,6
Taikoo Li Sanlitun South,6
THE BOX朝外年轻力中心,5
东润时代大厦,5
知春路,5
中国新民主主义革命纪念馆,4
Universal Business Park UBP,4
Solana Blue Harbor Mall,4
北京金融街,4
北二环城市公园,3
望和公园南园,3
枣营南里,3
二道沟,3
京广大厦,3
劲松一区,2
杨庄路北口,2
Temple of Ancient Monarchs,2
National Art Museum,2
Fangyuanli Community,2
北京市第八十中学枣营分校（初中部）,2
京达国际公寓,2
呼家楼站区,2
景园大厦,2
Hairun,2
花园路-中关村边界,2
Wangfujing,2
Lidu Park,2
正义路路口,1
Yu River,1
北京大学人民医院（白塔寺院区）,1
台基厂路口,1
Renmin University of China,1
科学园七区,1
皇城根遗址公园,1
清华大学附属中学将台路校区,1
中国新闻社,1
朝阳区垂杨柳中心小学金都分校（高部）,1
专运服务中心,1
Guangji Temple,1
龙形水系,1
Beijing Planning Exhibition Hall,1
