name,count
Beijing Zoo,3543
中关村核心区,425
Renmin University of China,78
花园路-北太平庄边界,67
锦秋家园,52
Old Summer Palace Park,41
Minzu University of China,40
National Library of China,32
Peking University,28
Beijing Institute of Technology (BIT),27
Beijing University of Civil Engineering and Architecture - Xicheng Campus,24
Yayuan Apartment,17
Beijing Friendship Hotel,15
新世界商品交易市场,14
High School Affiliated to Renmin University,13
Suyuan Apartment,13
中国标准化研究所,11
北航科技园,10
知春路,6
万泉河,5
"Beijing Children's Hospital, Capital Medical University",5
金港·国际,2
Chengfu Yuan,1
北区,1
