name,count
Beijing Sport University,7224
Tsinghua University,2892
中关村核心区,2459
Renmin University of China,1837
Peking University,1155
国瑞城,1086
Capital Normal University - North Campus 2,1001
Old Summer Palace Park,846
清华园-中关村边界,724
二里庄小区,637
北京西站,516
清华园-东升边界,495
华源世纪商务楼,453
Beijing West Railway Station,439
北京大学生体育馆,379
清华科技园,370
总部基地8区,339
Chinese Academy of Agricultural Sciences,321
清华园-青龙桥边界,280
北京南四环西路188号-9区,257
西王庄小区,252
马连道中里,206
Sillicon Valley Bright City,204
北京热力,201
知春路,200
五道口,194
南锣鼓巷,165
北京机务段北京西运用车间,163
京张铁路遗址公园,161
北京景山学校（北校区）,159
花园路-中关村边界,136
蓝旗营教师住宅区,131
CapitaMall Xizhimen,129
Beijingxi Depot,115
Capital Normal University,98
大钟寺站,89
"Beijing Shijitan Hospital, Capital Medical University",84
Northern Territory,71
北二环城市公园,70
Shang Di Dong Li,68
摩方M·CUBE,60
冬奥公园,57
二河开地区,54
"PBC School of Finance, Tsinghua University",53
北京师范大学实验华夏女子中学,53
Beijingbei Railway Station,52
东源停车场,50
转河,50
Chengfu Yuan,49
依莲轩,46
战略支援部队网络系统部第十局 61886部队,45
海淀丰台界线,43
宏嘉丽园,40
瑞海国际,36
Interwest International (Zhu Yu International),35
Xiaoyue River,34
High School Affiliated to Renmin University,30
志新北里小区,30
绿化带,27
科馨社区,27
苏州街33号公寓,26
歌华大厦,26
东升园公寓,25
新景家园,25
中国水科院南小区,25
新世界百货,24
Xizhimen,24
"Bldg No. 1, Guanghua School of Management",24
花园桥地铁6号线,23
海鹰路6号院,22
Capital Normal University - North Campus 1,20
护城河（已盖板）,20
国瑞购物中心,19
维亚大厦,15
Bank of Beijing,15
北京轨道交通13号线扩能提升工程土建施工20合同段项目经理部,14
Datunlu East,13
Xiamen Commerce Hotel,13
东升大厦C座,12
常青藤嘉园,12
Science Building No. 3,11
内环西路口,11
塔院城市森林公园北园,11
Chaolai Forest Park,11
瀛泽苑,11
北小河,11
China University of Political Science and Law,10
Science Building No. 1,10
华清商务会馆,10
红莲路69号院,10
中华人民共和国武装警察部队总部,10
Beijing Institute of Technology (BIT),10
十字坡街北口,9
元大都城垣遗址公园,9
Sinar Mas Life Sciences Building,9
清春一回;清春二回,9
海淀高等职业教育学院,8
Yandai Byway,8
Centergate Como,7
大运村公交场站,7
Guotu Culture Mansion,7
清陆军部和海军部旧址,6
冶建总院宿舍,6
玺源台,6
望京西站,6
Sinopec,6
颐和园-紫竹院-动物园  摆渡船,5
牤牛河,5
元大都公园明光村小区处,5
小马厂东南角绿地,5
Peking University Hospital,5
清华园-海淀边界,5
McDonald's,5
鼓楼大街地铁织补项目,5
北京华联上地购物中心,4
北京市海淀区妇幼保健院东南院区,4
东源大厦,4
China Foreign Language Mansion,4
锦秋家园,4
总部基地1区,4
马连道北里,4
博创后院,3
中关村中学,3
Liquid Crystal Bldg,3
太平路36号院,3
海淀区中关村第二小学,3
北京市第一中学,3
永定河引水渠,3
水池雕像,3
丽水莲花,3
莲花河,2
海鹰路东口,2
南水北调中线工程总干渠,2
"Institute of Process Engineering, Chinese Academy of Sciences",2
Beijing Foreign Studies University,2
城市经典西区,2
解放军空军参谋部,2
总部基地5区,2
大方饭店,2
花园路-北太平庄边界,2
University of Science and Technology Beijing,2
北京市第四幼儿园,2
海淀路社区,2
大恒科技大厦,2
科原大厦,2
Beixinqiao Subway Station Exit D,2
中冶集团建筑研究总院,2
Qing river,2
海淀区中关村第二小学华清校区,2
正仁大厦,2
莲花小区,2
Lotus River,1
槐树岭1号院,1
中国石油勘探开发研究院,1
中华人民共和国商务部,1
吉利双星公寓,1
北京建工大厦,1
西新隆商场,1
新成文化大厦,1
名商大厦,1
7,1
6,1
1号楼,1
Dongdan Park,1
"Exit & Entry Administration Service Center, Public Service Bureau of Beijing",1
龙湖唐宁one,1
坤讯大厦,1
Inner Mongolia Grand Hotel Wangfujing,1
