name,count
Peking University,659
花园路-北太平庄边界,564
Houhai Lake,556
University of Science and Technology Beijing,536
"DaYunCun, Dorms",302
Chinese Academy of Agricultural Sciences,287
花园路-学院路边界,215
领航科技大厦（原中国艺术品大厦）,176
知春路,174
Sigma Building,168
京张铁路遗址公园,103
方圆大厦,99
建国门桥,97
五道口,59
清华科技园,53
Beihang University,52
博创后院,47
Peking University Hospital of Stomatology,46
清华园-东升边界,39
花园路-中关村边界,37
中国铁道科学研究院,33
北京白鹿收费站,24
中关村海关辑私分局,23
中航广场,21
中国民用航空局空中交通管理局（民航三中心）,21
Beijing Xijiao Airport,20
双天大厦,18
北京卫星制造厂,14
Sinar Mas Life Sciences Building,12
京东科技大厦（原翠宫饭店）,12
清华园-中关村边界,12
China Aviation Tech Building,9
大屯里小区,9
北航科技园,8
东岳文化广场,7
Qing river,7
中国科学院大学（中关村校区）,7
清春一回;清春二回,6
慧忠里公共汽车站,6
北京市中关村中学知春分校,5
北京轨道交通13号线扩能提升工程土建施工20合同段项目经理部,5
川安公园,5
北京东站,5
China University of Political Science and Law,4
小月河,4
联合大厦,4
广化寺,4
知春嘉园2号楼,4
护城河（已盖板）,4
Anlilu,4
昆泰国际大厦,4
北京香山国际高尔夫俱乐部,3
大运村公交场站,3
东源停车场,3
Prince Chun Mansion,3
北京市第十三中学（初中部）,3
通惠河灌渠,2
Yandai Byway,2
空军指挥学院,2
中国人民解放军95968部队,2
北辰·新空间,2
中法大学旧址,2
航天恆星大廈,2
银河SOHO,2
Quatum Plaza,2
坤讯大厦,1
No.7 Middle School,1
南大沟,1
怡升园,1
Beijing Zoo,1
知春嘉园4号楼,1
知春嘉园3号楼,1
天香颐北里,1
航南大厦B座,1
知春嘉园1号楼,1
中国卫星通信大厦,1
西城区鸦儿胡同小学（南校区）,1
航南大厦A座,1
元大都城垣遗址公园,1
海淀交通支队中关村大队,1
芳嘉园胡同,1
