name,count
香山公园,8544
Beihai Park,7718
中关村核心区,6884
晨月园,6097
Renmin University of China,5924
西单商业区,4022
Beijing Western Hills National Forest Park,2831
北京中央商务区,1400
时雨园,1168
怡佳家园,1164
Beijing Xijiao Airport,1003
北旱河,827
西局玉璞园-西区,734
Summer Palace,713
中关村e世界,647
益丰苑,576
解放军空军参谋部,567
中国人民解放军军事科学院,562
金夕园,456
Imperial City,446
新起点嘉园,440
东方新天地,428
旱河,391
China Youth University of Political Studies,354
人大幼儿园,331
垂虹园,328
中华人民共和国自然资源部(西四办公区),318
Old Summer Palace Park,304
中国人民解放军海军总部,274
Beijing West Railway Station,270
北京金融街,266
万柳亿城中心,262
北京市小井纸制品厂,254
西三环红木街,253
北京华贸中心,242
空军指挥学院,235
六里桥家园,214
Zhongnanhai,210
Peking University,206
北京公交西黄庄场站,204
August First Film Studio,202
海淀路社区,201
Tsinghua University,201
中国林业科学研究院,200
四惠枢纽站,194
永泰福朋喜来登酒店,194
远洋国际中心,192
挂甲屯社区（拆迁中）,186
Centergate Como,181
Beijing Botanical Garden,176
Zhongguancun Plaza,174
劲松一区,168
规划中关村三小,162
北京市公安局海淀分局,162
锦绣大地物流港,160
城乡购物中心,158
Haidian Park,156
莲花池西里,154
求是楼,143
万泉河绿地,128
花园路-学院路边界,127
北宫门站,127
中华人民共和国武装警察部队总部,124
绮美大厦,122
玉璞家园,118
海淀丰台界线,117
兴隆家园北区,113
Chinese Academy of Agricultural Mechanization Sciences,108
Beijing Zoo,107
甘露园南里一区,101
京张铁路遗址公园,99
No. 45 Chegongzhuang West Street,96
工美大厦,96
万泉河,95
daoxiangcun,90
"National Botanical Garden, Chinese Academy of Sciences",89
一亩园社区,88
花园桥地铁6号线,85
University of Science and Technology Beijing,84
Sillicon Valley Bright City,83
北京外国语大学附属小学（万寿寺校区）,80
China Foreign Affairs University,79
小井路口,78
月恒正大新生活广场,71
丰台体育中心停车场,70
Beijing University of Civil Engineering and Architecture - Xicheng Campus,70
国家奥林匹克体育中心,68
Chengfu Yuan,66
Capital Normal University - North Campus 1,65
北京首农香山会议中心,64
米兰·Life生活广场,63
南长街南口,62
Capital Normal University - North Campus 2,60
High School Affiliated to Renmin University,59
北京天文馆,58
小井幼儿园,58
健一公馆,57
Beijing Forestry University,57
府右街南口,56
Communication University of China,56
新华西街145号院,56
观山园,55
甘露晴苑,54
清华园-东升边界,53
中央党校研究生院,52
中国人民解放军北京军区炮兵,51
中国新闻社,50
西坝河西里社区,50
北京市海淀区人民政府,47
颐和园-紫竹院-动物园  摆渡船,45
妙云寺公园,44
北京卫宇行汽车服务有限公司,44
翠叠园,44
金铂麟酒店,44
动物园交通枢纽,43
南水北调中线工程总干渠,38
中国科学院植物研究所宿舍,38
大恒科技大厦,38
盛京佳园,36
莲花河,35
华天大厦,35
莱锦文化创意产业园,35
宣武门路口,34
CapitaMall Xizhimen,33
金水河,32
世纪金源购物中心,31
中科大厦B座,31
昆泰国际大厦,30
西局欣园南区,30
世纪经贸大厦A座,30
中国人民大学附属中学第二分校,30
冬季运动管理中心综合训练馆,30
春荫园,29
晴雪园,28
Shaoyaoju Beili,28
永泰·自在香山公园,28
太平路36号院,27
护城河（已盖板）,27
Beijing International Studies University,27
方恒万泽中心,26
居然之家,26
新世界商品交易市场,26
国务院侨务办公室,26
泰禾西府,26
芙蓉里小区,25
Beijing Administrative College,25
鲁艺上河村,25
百得利创新园,25
祁家豁子城市公园,24
中央军委科学技术委员会,24
鲁班大厦,24
阜成路八号院 航天小区,24
定福庄北里1号院,22
University of International Relations,22
六里桥4号院,22
六里桥北里3号院,22
清华科技园,22
远大路22号西院,22
二道沟,21
中国人民解放军95968部队,21
远大园三区,21
小马厂公交场站,20
西宸原著,20
Zhonghai Lake,20
大有庄,20
马神庙1号院 核二院社区,20
Beijing Institute of Technology (BIT),20
遗光寺3号院 军科院家属区,19
China Agricultural University - East Campus,19
厢红旗四号院,18
通州北苑路口,18
新城市广场,18
辰芳园,17
西局西路69号院,16
"Institute of Physics, Chinese Academy of Sciences",16
中国人民大学附属小学,16
中国科学院电子科学研究所,15
梦之园,15
Xidan,14
Beijing Hui Xin Hua Xin Automobile quick service station,14
清华东路27号院,13
三义庙社区西区,13
"Institute of Mechanics, Chinese Academy of Sciences",12
大柳林农场,12
西局欣园北区,12
西顶庙（道教）,12
万科东第,12
悠唐生活广场,12
杨庄路北口,12
马甸公园,11
中关村论坛永久会址,11
北京第二外国语学院继续教育学院学生公寓,11
双紫支渠,10
中华人民共和国工业和信息化部,10
阜石路南侧绿地公园,10
定慧西里,10
通州万达广场,10
"Institute of Plant Protection, Chinese Academy of Agricultural Sciences",10
北京海淀教师进修学校,10
东区国际,10
中国科学院大学（中关村校区）,10
民航营业大厦,10
Central Party School of the Communist Party of China,10
丽泽体育馆,10
中国人民解放军总医院第六医学中心,9
定慧东里,9
樱桃园,9
国海广场,9
BOM嘻番里,9
THE BOX朝外年轻力中心,9
西四环中路73号院 301医院家属区,8
"Sanbo Brain Hospital, Capital Medical University",8
四季曙光公园,8
已拆,8
National Library of China Ancient Books Library,8
烂尾楼,8
北京市新华印刷厂,8
清华园-中关村边界,8
西王庄小区,8
安民学校定福庄校区,8
北京市海淀区实验小学丰台分校（东校区）,8
五道口,7
达园,7
