name,count
中关村核心区,33111
五道口,1699
Zhongguancun Plaza,1648
花园路-北太平庄边界,1619
Beijing Jiaotong University,1088
京张铁路遗址公园,987
知春路,775
西单商业区,611
清春一回;清春二回,473
海淀交通支队中关村大队,462
转河,457
花园路-中关村边界,420
"DaYunCun, Dorms",416
Chinese Academy of Agricultural Sciences,368
自动化大厦,360
"Institute of Physics, Chinese Academy of Sciences",302
Beijingbei Railway Station,235
中关村e世界,227
CapitaMall Xizhimen,171
清华园-海淀边界,167
大运村公交场站,140
China University of Geosciences at Beijing,139
中关村海关辑私分局,111
海淀文化艺术大厦,98
北京卫星制造厂,94
维亚大厦,84
Sigma Building,80
Hengxing Mansion,79
金水河,74
华清嘉园,65
地铁知春路站,43
Xizhimen,38
蓝景丽家 大钟寺家居广场,37
"PBC School of Finance, Tsinghua University",35
骏马大酒店,25
Quatum Plaza,24
领航科技大厦（原中国艺术品大厦）,24
Xiamen Commerce Hotel,24
海淀南路6号楼,20
中国工商银行海淀支行,18
中国卫星通信大厦,18
银网中心,18
海淀清真古寺,10
The Affiliated High School of Peking University,10
北京轨道交通13号线扩能提升工程土建施工20合同段项目经理部,9
博创后院,7
理想大厦,4
东源停车场,2
北京市中关村医院,2
紫金数码园5号楼,1
