name,count
北京中央商务区,1047
Forbidden City Moat,517
Summer Palace,321
西单商业区,281
Ritan Park,240
Olympic Park,238
Kunming Lake,199
北京第一热电厂,187
建国门桥,177
Five Pagoda Temple,119
北京华贸中心,108
护城河（已盖板）,100
清华园-中关村边界,82
Old Summer Palace Park,69
龙形水系,68
北京金融街,59
宣武门路口,46
中央党校研究生院,43
中国中医科学院西苑医院,43
Peking University,42
幸福家园,36
颐和园-紫竹院-动物园  摆渡船,32
台基厂路口,27
正义路路口,27
和平门路口,26
Beijing Zoo,26
St Regis Beijing,26
The Experimental High School Attached to Beijing Normal University,26
中汇广场,23
转河,21
挂甲屯社区（拆迁中）,18
Beijing Language and Culture University,17
德宝新园小区,16
华清嘉园,16
芙蓉里小区,16
中共中央宣传部,16
二里庄小区,15
中国石油勘探开发研究院,15
鹏润家园,15
Ming Dynasty Wall Ruins Park,14
清华科技园,13
CapitaMall Xizhimen,13
中央民族大学附属中学（朝阳校区）,13
Communication University of China,13
三里河公园,13
五道口,12
稻香园西里,12
Xidan,12
北京第一实验小学,12
Embassy of Poland,12
大钟寺站,11
Xiyuan,11
公园五号,11
China University of Mining and Technology at Beijing,11
Wenyu River,10
中国农业科学院附属小学（气象路校区）,10
Waijinshui River,10
Xizhimen,10
搜秀城,9
京客隆购物中心（甜水园店）,9
科学园七区,9
Bright Garden,9
Central Park Square,8
Beijing 27th Middle School,8
北小河,8
铁道部第四住宅区,8
知春路,8
东润时代大厦,8
Beijing Concert Hall,7
Gaobeidian,7
北京站街北口,6
地铁四惠站（1号线、八通线）,6
张家坟干渠,6
巴沟公园,6
Yidongyuan compound,6
Novotel Beijing Xin Qiao,5
中国人民解放军陆海空三军仪仗队国旗护卫队,5
东王庄小区,5
中共中央政法委员会,5
Peking University Hospital of Stomatology,5
Beijingbei Railway Station,5
府右街南口,5
供电局口,5
北京图书批发市场,4
北京机务段,4
万泉河,4
Jingshan Park,4
Beijing Depot,4
Beijing Planning Exhibition Hall,4
老根山庄,4
Beijing International Studies University,4
Taikoo Li Sanlitun South,4
Haidian Park,3
玉带河,3
Shimao Gongsan,3
清学部遗址,3
人大西侧路,3
华清商务会馆,3
北京市出入境检疫局,3
京张铁路遗址公园,3
Jiangguomen Diplomatic Compound,3
东源停车场,3
庆丰公园,3
Qing river,3
金水河,2
北京车辆段交接场,2
Yu River,2
中华人民共和国最高人民检察院,2
紫瑞家园,2
广渠秋韵公园,2
新世界商品交易市场,2
首都师范大学(分校区),2
"PBC School of Finance, Tsinghua University",2
Sinopec,2
青年路沟,2
中华人民共和国工业和信息化部,2
北京瑞吉酒店,2
北京师范大学附属中学,2
新怡家园,2
北京第一〇一中学,2
新世界百货,1
大通滨河公园,1
Meridian Gate,1
北京协和医院（西区）,1
清华园-东升边界,1
天安门东南角绿地,1
珠江帝景C区,1
英大传媒大厦,1
Xiangyuan Apartment,1
Jinshui River,1
王庄公园（西区）,1
Beijing Forestry University,1
北京汇文实验中学,1
Zhongnanhai,1
Zhengyangmen,1
