name,count
Chengfu Road,6949
Zhongguancun North Street,2290
Zhongguin Village East Road,1703
Xinxi Road,1430
Zhichun Road,1002
复兴路,907
Shuangqing Road,841
Xueqing Road,745
中关村东路,739
Heqing Road,617
知春路,472
京新高速,448
Qinghua East Road,442
北三环西路,379
Xueyuan Road,342
北四环西路辅路,329
双清路,329
北四环西路,299
北林银杏大道,295
中关村北大街辅路,267
海淀路,248
G6辅路,209
中关村北二街,198
Zhongguancun Main Street,192
北三环东路,183
财经东路,176
成府路,172
中关村北一条,172
N. Xisi Str,154
Xicui Road,151
中关村大街,123
北土城西路,123
Zhixin Road,118
Xinjiekouwai Street,115
北三环中路,110
North 3rd Ring Road,102
South Xueyuan Road,94
花园东路,91
颐和园路,86
Yingxia Street,85
塔院东街,82
Linglong Road,82
Xingjiekou South Street,78
西直门北大街,75
五道口北巷,74
西单北大街,74
中关村北二条,73
中关村南四街,72
Zhixin East Road,71
North 5th Ring Road,71
大运村路,70
N. Xingjiekou Str,69
W. Enji Str,67
Fuxing Road,64
双清绿道,56
海淀三山五园绿道,56
学院路,45
West Chegongzhuang Road,43
花园北路,41
清华南路,40
邱门外大街,40
西土城路,35
西四南大街,34
South Zhongguancun Street,30
农大南路,28
首都体育馆南路,28
S. Xisi Str,27
Shang Di West Road,26
兵马司胡同,22
W 1st Dahuisi Str,19
燕东园北小街,17
荷清路,17
新街口外大街,16
娘娘庙街,14
北太平庄路,13
Jingan West Street,11
苏州街,11
Kexueyuan South Road,11
Linyedaxuebei Road,10
Dahuisi Road,9
Zhongguancun South Road,9
Wenhuiyuan Road,8
三才堂路,8
Wangzhuang Road,7
校园东路,7
大院胡同,7
八家东西线,7
Zijing Road,7
科院北一街,6
玲珑路,6
清河南滨河路,6
丰盛胡同,6
Xuezhi Bridge,5
Daliushu Road,5
Xueyuan South Road,4
Picai Hutong,4
北四环中路,4
West Balizhang Road,4
后八家路,4
Zhongguancun Street,4
Yongan Bridge,3
Huixin Xijie,3
大泥湾路,3
阜成路,3
Xizhimen North Street,3
Inner Xizhimen Str,3
朱各庄路,3
中关村南大街,3
East Mingguang Road,2
阜成门内大街,2
North Shuangyushu Road,2
双学路,2
玉渊潭南路,2
South Kexueyuan Road,2
西翠路,2
Zizhuyuan Road,2
裕民西路,2
An Li road,2
Fucheng Road,2
E. Enji Str,2
South Zizhuyuan Road,1
裕民中路,1
安贞西二路,1
塔院西街,1
潘庄南路,1
Fucheng Street,1
科技园路,1
前八家北路,1
前八家路,1
月泉路,1
中关村南一条,1
展春园西路,1
East Dazhongsi Road,1
