name,count
石门路,4583
Zhichun Road,4492
South Zhongguancun Street,4453
阜石路,3891
Fushi Road,3765
Fucheng Street,1882
Zhongguancun Main Street,1797
阜石路辅路,1180
阜成路,1007
西三环北路,995
West Chegongzhuang Road,935
Jinding South Road,899
金顶西街,886
Pingguoyuan South Road,857
西四环北路,778
Xing Shi Kou Road,649
北三环西路,513
East Dazhongsi Road,508
Xueyuan Road,443
金顶南路,433
首都体育馆南路,416
中关村大街,384
中关村东路,379
阜成路辅路,379
Zizhuyuan Road,365
北三环中路,357
Xiang Shan Nan Road,274
北四环中路,253
Fucheng Road,253
知春路,252
Airport Expressway,226
北四环西路,224
田村路,224
Yingxia Street,221
Chang Chun Qiao Road,221
North 4th Ring Road,209
西三环,176
车公庄西路,176
中关村南大街,173
湖光北街辅路,154
辛店路,151
杨庄东街,150
Yuan Da Road,141
紫竹院路,137
金顶街,131
北洼路,110
望京西路,110
North 3rd Ring Road,106
北四环西路辅路,102
North 5th Ring Road,102
西三环南路,95
北四环东路,86
Haidian South Road,84
市政大厦南路,80
板井路,80
Jin Ding North Road,80
西三环中路,78
花园北路,76
杨庄大街辅路,75
Linglong Road,75
京承高速,71
太阳宫中路,70
万泉河路,65
Ba Da Chu Road,64
Yongding Road,62
Yangzhuang Street,62
West 4th Ring Road,60
Xinjiekouwai Street,59
Zhongguancun Street,59
上庄大街,57
海淀黄庄东天桥,56
Guang Shun North Street,53
长春桥路,53
湖光中街,53
南湖北路,49
Shang Di South Road,47
苹果园交通枢纽东路,44
西直门北大街,44
Weigong Street,43
北太平庄路,42
Anhua Road,41
潘庄南路,40
Banjing Road,39
西直门外大街,38
Xinxi Road,37
E. Enji Str,36
复兴路,35
西土城路,35
北辛安路辅路,33
正福寺路,33
苏州街,32
蓝靛厂南路,31
学院路,30
South Zizhuyuan Road,28
Kexueyuan South Road,28
湖光北街,28
South Xueyuan Road,27
南湖南路,26
Dahuisi Road,25
North Shuangyushu Road,24
姜庄路,24
HAIDIAN South Road,23
West 3rd Ring Road,23
实兴大街,23
中关村北大街辅路,22
Zhongguin Village East Road,22
Weigongcun Road,22
North 4rd Ring Road,22
杏石口路,21
Zhenfusi Road,21
Zhongguancun North Street,20
花园东路,20
金顶路,20
Xizhimen Avenue,18
农科院西路,18
砂石厂路,18
高井路,18
Hei Chen Road,18
杨庄北区中街,17
田村东路,17
玲珑路,16
鼎成路,15
大钟寺北路,15
Baita'an Road,15
知春里弯巷,15
永引渠南路,15
西院道路,14
Wanshousi Road,14
Ping Guo Yuan Road,14
人民大学南路,13
南湖西园南路,12
South Kexueyuan Road,12
太阳宫南街,11
N 4th Ring Rd. W,11
大运村路,11
朝阳绿道示范段,10
容创路,10
广宏路,9
Xuezhi Bridge,9
Xicui Road,8
南湖中园二条,8
西四环中路,8
北三环东路,8
永定河路,8
石景山路辅路,8
蓝靛厂北路,7
Hu Guang Street Middle,7
远大东路,7
West 5th Ring Road,7
石景山路,7
1st Shuangyushu Str,7
Fuxing Road,6
人民大学北路,6
South Minzu University Road,6
蓟门里北路,6
采石北路,6
湖光中街辅路,5
苹果园交通枢纽中路,5
田村山健身步道,5
Beitaipingzhuang Avenue,5
西局北街,5
旱河路,5
溪阳西路,5
北岔街,4
Jingmi Road,4
Xinyuan Street,4
广宁路,4
Chegongzhuang West Street,4
望京北路,4
West Balizhang Road,4
W. Enji Str,4
大泥湾路,4
North 3rd Ring Road (Sitong Bridge),3
Yuquan Road,3
正大南路,3
Pingguoyuan Street,3
Qinghua West Road,3
校园东路,3
Outer Xizimen Str,3
Ba Gou Road,3
定慧桥,3
白石新桥,3
中关村南四街,3
望京北路辅路,3
时代花园东街,3
Lingnan Road,2
新建宫门路,2
双榆树北里四条,2
京新高速,2
八角东街,2
远大南路,2
Zhongguancun South Road,2
北土城西路,2
京顺东街,2
蓝靛厂西路,2
北辛安中路,2
三义庙路,2
East Zhongguancun Road,2
Zhengguang Road,2
国图桥,2
花园路,2
2nd Shuangyushu Str,2
永引渠北路,2
巨山路,2
常润路,2
健翔桥,2
八大处路辅路,2
香山南路,1
射击馆南街,1
古城西路,1
古城西街,1
蓝靛厂中路,1
北皋桥,1
Beiyuan road,1
农大南路,1
常青路,1
Wan Liu Zhong Road,1
North Shida Road,1
Beiqingyun Lu,1
万寿寺路,1
广泽路,1
广泽桥,1
清河南滨河路,1
Shuangyushu Beili Ertiao,1
常青园路,1
远大西路,1
新融西街,1
Dazhongsi North Road,1
罗庄中路,1
双榆树北里六条,1
Jin Ding East Street,1
3rd Shuangyushu Str,1
Libafang Lu,1
South Third Zhongguancun Street,1
福田公墓路,1
Chuangyuan Road,1
通汇路,1
模式口东里,1
玉泉路辅路,1
昌运宫路,1
厂洼中路,1
长智路,1
Xueyuan South Road,1
Xitucheng Road,1
N 4th Ring Rd. E,1
阜通西大街辅路,1
明光西路,1
N. Sidiaokuo Str,1
Sidaokou Road,1
East Wanliu Road,1
榆槐巷,1
远大中路,1
