name,count
East Dazhongsi Road,525
Chengfu Road,523
Zhichun Road,355
Yingxia Street,274
北四环西路,269
中关村东路,253
Zhongguancun South Road,220
Dazhongsi North Road,213
Zhongguin Village East Road,207
财经东路,191
知春路,160
中关村北二街,137
北四环西路辅路,123
Beichen Donglu,101
Kexueyuan South Road,74
Heqing Road,60
Jianguo Road,52
中关村南三街,51
Zhixin Road,49
东三环中路,41
Jingtong Expressway,40
Tongchao Street,39
成府路,33
中关村北一条,30
Yangzhuang Road,29
京新高速,28
North 4th Ring Road,28
G6辅路,23
翠屏西路,17
怡乐北街,13
北四环中路,12
Jinsong Road,11
中关村北二条,11
东升南路,10
京通快速,9
三才堂路,7
八里桥南街,7
Beijing-Lasa Expwy,6
清华园石油小区路,6
Huizhong Lu,5
安翔桥,5
双清绿道,3
Baita'an Road,3
Qinghua East Road,2
E. 3rd Ring Road,2
Xinggui Road,2
校园北路,2
科院北一街,2
North 4rd Ring Road,1
垂杨柳北一街,1
大运村路,1
中关村北一街,1
North 5th Ring Road,1
五道口北巷,1
北三环西路,1
Guangqu Road,1
展春园西路,1
清河南滨河路,1
