name,count
Airport Expressway,1560
北京-平谷高速公路,167
North 3rd Ring Road,143
中关村东路,112
北三环西路,104
Xiangheyuan Road,80
Zhichun Road,60
北三环中路,48
East 3rd Ring Road,44
北三环东路,39
Dongzhimenwai Xiejie,38
East Zhongguancun Road,28
Jingmi Road,24
香河园路,24
东直门外斜街,17
North Middle 3rd Ring Road,15
Zhongguin Village East Road,15
3rd Ring Road,10
East Dazhongsi Road,8
Yingxia Street,6
South Kexueyuan Road,6
Shuangyushu Dongli Xixiang,6
Jiangtai Road,6
京顺东街,6
NE Dongzhimen Str,6
E. 3rd Ring Rd. E,5
壁富路,4
知春路,3
北二里庄路,3
任李路,2
SE Outer Dongzimen Str,2
通怀路,2
大庆-广州高速公路;北京市六环绕城环线高速公路,2
机场第二高速,2
三元桥,1
右堤路,1
东三环北路,1
