name,count
Minzu University Road West,676
苏州街,659
South Zhongguancun Street,309
Zhichun Road,300
万泉河路,224
西三环北路,164
Zhongguancun Main Street,117
Nanmofang Road,107
Yingxia Street,106
西三环,105
Fahuasi Road,88
Xinjiekouwai Street,76
Haidian South Road,43
Weigongcun Road,42
知春路,40
Wenhuiyuan Road,38
Xizhimen Avenue,38
East Dazhongsi Road,27
复兴路,27
北土城西路,26
中关村大街,25
中关村南大街,22
Fuxing Road,22
HAIDIAN South Road,20
北京西站南广场,18
Yaowa Road,17
西三环中路,16
人民大学北路,14
Lianhuachi East Road,14
Zizhuyuan Road,13
Weigong Street,11
South Minzu University Road,10
西直门外大街,9
中关村东路,9
Wanshousi Road,8
Beijing Railway Station Street,7
万寿寺路,5
Xizhimen Outer Street Side Road,4
South Xueyuan Road,4
北三环西路,4
广莲路,4
Outer Xizimen Str,3
邮通街,3
Zhongguancun Street,2
百胜村路,2
Zhengguang Road,2
海淀黄庄东天桥,2
Xidawang Road,2
高梁桥路,2
W. Beijingzhan Str,2
北展广场,2
Beijingzhan West Street,2
北京-港澳高速公路,1
North 3rd Ring Road,1
北三环中路,1
Xizhimen Outer Avenue,1
Beilishi Road,1
西二环,1
西直门北大街,1
Beijing Station East Street,1
Zhongguin Village East Road,1
知春里弯巷,1
圣水北大街,1
Jianguomen Inner Avenue,1
莲花桥,1
South Lianhuachi Road,1
广安路,1
Changwa Road,1
万丰路辅路,1
西四环中路,1
园博大道辅路,1
Wujiachang Road,1
