name,count
South Zhongguancun Street,455
Zhongguancun Main Street,289
苏州街,241
Zhichun Road,241
Zhongguancun North Street,170
Wanquanzhuang Road,148
万泉河路,137
中关村北大街辅路,132
北三环西路,126
云岗路,109
Jingmi Road,86
Haidian South Road,65
知春路,57
北四环东路,53
京密路,45
北四环中路,43
北四环西路,43
北京-港澳高速公路,38
N 4th Ring Rd. W,34
Xinxi Road,34
North 3rd Ring Road,33
西四环北路,33
西三环北路,33
知春里弯巷,25
2nd Shuangyushu Str,24
North Shuangyushu Road,23
北四环西路辅路,22
周口店路,21
North 4th Ring Road,21
西四环中路,20
圆明园西路,19
South Yuyuantian Road,19
Weigong Street,16
人民大学北路,15
East Wanliu Road,14
3rd Shuangyushu Str,13
South Xueyuan Road,13
East Zhongguancun Road,12
望京西路,12
Kexueyuan South Road,11
人民大学南路,11
邱门外大街,11
中关村大街,10
1st Shuangyushu Str,10
西直门北大街,9
北三环中路,8
海淀路,8
Shang Di South Road,8
花家地街辅路,6
农大南路,6
Shuangyushu Dongli Xixiang,6
大运村路,6
South Kexueyuan Road,5
Xizhimen North Street,5
Huajiadi Jie,5
North Middle 3rd Ring Road,4
西直门南大街,4
双榆树北里六条,4
Fahuasi Road,3
Weigongcun Road,3
西三环,3
华亭西路,3
Zhongguancun Street,3
双旗杆路,2
旱河路,2
North 5th Ring Road,2
Ba Gou Road,2
厢黄旗东路,2
Airport Expressway,2
飞航路,2
安立路,2
Beichen West Road,2
Shuangyushu Middle Street,2
North 4rd Ring Road,2
N. Fuchengmen Str,2
Shuangyushu Beili Wutiao,2
中关村东路,2
厢黄旗路,2
花园北路,1
Wanshousi Road,1
三义庙路,1
Xueyuan Road,1
西二环,1
张家坟路,1
彰化路,1
京港澳高速辅路,1
程庄路,1
老营房路,1
海淀公园路,1
阜通西大街,1
德贤路,1
阜通西大街辅路,1
Chang Chun Qiao Road,1
阜通东大街,1
清河南滨河路,1
首都体育馆南路,1
