name,count
中关村东路,3366
中关村南四街,1829
South Xueyuan Road,1641
North 4th Ring Road,1589
Zhichun Road,1548
北三环西路,1250
北四环中路,1234
Zhongguin Village East Road,1041
Xingtan Road,1026
Xinjiekouwai Street,898
北四环东路,861
北四环西路,685
中关村南三条,677
小营路,659
Haidian South Road,621
Xinxi Road,531
East Dazhongsi Road,475
北三环中路,464
Heqing Road,454
South Zhongguancun Street,442
Chengfu Road,435
Zhongguancun North Street,389
Wenhuiyuan Road,387
N. Dongsi Str,338
北土城西路,328
North 3rd Ring Road,327
明馨西街,322
花园北路,320
知春路,282
Wenhuiyuan North,254
西土城路,249
Shang Di West Road,248
Xueyuan Road,242
Weigong Street,237
Xinggui Road,221
中关村北大街辅路,196
西直门北大街,195
关庄西路,183
Zhongguancun Main Street,180
西二环,176
North 4rd Ring Road,172
S. Xinhua Str,157
Xizhimen North Street,154
Xuanwumen West Avenue,145
East Zhongguancun Road,141
高梁桥斜街,131
Anding Lu,119
北土城东路,114
学院路,111
North Shida Road,107
财经东路,93
北关庄路,90
小营北路,88
大运村路,86
小营西路,82
慧景路,77
东升南路,75
Yingxia Street,73
Huizhong North Road,73
An Li road,71
North Middle 3rd Ring Road,71
北辰路,71
中关村南一条,68
中关村南三街,68
福东巷,66
Beijing-Lasa Expwy,63
N. Fuchengmen Str,63
新街口北大街,61
Zhongguancun South Road,60
荷清路,57
成府路,52
德胜门外大街,50
安立路,50
Nanxinhua street,48
N. Xingjiekou Str,46
Huixin Dongjie,46
Xuezhi Bridge,46
新街口外大街,45
Weigongcun Road,45
G6辅路,45
苏州街,39
Shang Di South Road,36
北太平庄路,33
高粱桥斜街,32
Daliushu Road,32
Dazhongsi North Road,31
阜成门南大街,27
Xitucheng Road,26
新康路,25
塔院西街,21
Beichen Road,21
SW Gaolianqiao Str,21
京新高速,21
Beiyuan Road,19
Baita'an Road,18
Beiyuan road,18
Leyu Road,16
Zaojunmiao Road,16
五月华庭路,16
高梁桥路,15
Xueyuan South Road,15
Beitaipingzhuang Avenue,15
Shuangqing Road,13
安定路,13
Qinghua East Road,13
North 5th Ring Road,13
健翔园南路,13
中关村大街,12
复兴门北大街,11
复兴门南大街,10
Wenhuiyuan South,10
South Kexueyuan Road,9
East Mingguang Road,9
罗庄中路,9
清河南滨河路,8
双清绿道,8
西直门南大街,8
华亭西路,7
农大南路,7
中关村北一条,7
清华南路,7
Lianhui Road,7
鼓楼外大街,7
Yushuguan Bridge,6
花园路,5
花园东路,5
校园北路,5
安慧北里小街,5
3rd Shuangyushu Str,5
Zhixin East Road,5
八家东西线,4
塔院东街,4
Zhongguancun Street,4
Jiaotong University Road,4
高梁桥,4
海淀三山五园绿道,4
三才堂路,4
复兴门桥,4
双安西桥,3
健翔桥,3
海淀黄庄东天桥,3
交大东路,3
湖景东路,2
Zijing Road,2
N. Xingfeng Str,2
Huizhong Lu,2
前八家路,2
Kexueyuan South Road,2
展春园西路,2
清华园石油小区路,2
Xingjiekou Sitiao,2
Beichen West Road,2
北四环西路辅路,1
燕东园北小街,1
香炉营头条,1
HAIDIAN South Road,1
Datun road,1
大泥湾路,1
Longfusi Street,1
North Shuangyushu Road,1
校园西路,1
厂甸胡同,1
N. Beizhan St,1
