name,count
Zhichun Road,2287
中关村东路,1281
北土城西路,787
Zhongguancun South Road,766
中关村南三街,664
北土城东路,573
北四环西路,449
苏州街,385
北苑路,358
万泉河路,290
South Third Zhongguancun Street,275
海淀大街,229
西直门外大街,220
Anding Lu,209
知春路,202
北四环西路辅路,196
Zhongguin Village East Road,180
North 4th Ring Road,174
Xingjiekou South Street,156
北三环西路,146
安定路,137
北四环中路,127
Haidian South Road,123
South Zhongguancun Street,120
Xinggui Road,111
Beiqingyun Lu,95
Huguosi Str,93
N. Xingjiekou Str,87
花园东路,81
北四环东路,80
Xinjiekouwai Street,75
Outer Jiugulou Str,74
Jiuxianqiao Road,72
N 4th Ring Rd. E,65
Wanquanzhuang Road,61
East Dazhongsi Road,59
Xizhimen Avenue,58
Zhongguancun Main Street,54
Gulouwai Str,53
中关村大街,51
中关村南一条,50
Jingmi Road,47
Xuanwumen West Avenue,44
Jiangtai Road,44
Airport Expressway,43
中关村南四街,42
Anzhen Road,37
North 4rd Ring Road,33
North 3rd Ring Road,31
酒仙桥北路,30
Xizhimen Outer Street Side Road,29
Huguosi Xixiang,27
Anyuan lu,25
西三环,25
East Wanliu Road,23
Lianhuachi East Road,23
高梁桥路,22
East Zhongguancun Road,19
Ande Road,18
797 Road,18
西直门北大街,17
Yingxia Street,16
小营路,14
北二环,13
北辰路,12
海淀黄庄东天桥,12
颐和园路,11
新街口北大街,11
Beichen Road,10
Beichen West Road,10
North Shuangyushu Road,10
Jinsi Alley,9
798 Road,8
安贞西里环路,7
Kexueyuan South Road,6
Xizhimen Outer Avenue,6
小营东路,6
德胜门西大街,6
Xuezhi Bridge,6
Zhongguancun North Street,5
G6辅路,5
德胜门北桥,4
Huixin Dongjie,4
N. Andeli Str,4
花园路,4
Ba Gou Road,3
学院路,3
Inner Xizhimen Str,3
Huixin Xijie,3
冰窖口胡同,3
花园北路,3
安德路,3
塔院东街,3
西直门站换乘通道,2
Wanquanhe Road,2
East Lianhuachi Road,2
Outer Andingmen Str,2
Zaojunmiao Road,2
Dongqiangchang Alley,1
健翔桥,1
健翔园南路,1
Zhixin East Road,1
South Xueyuan Road,1
Xiqiangchang Hutong,1
South Kexueyuan Road,1
茶棚路,1
Jingyang Alley,1
Ju'er Alley,1
奥园东路,1
Madian Donglu,1
Chengfu Road,1
North Dahuisi Road,1
牡丹园东街,1
北关庄路,1
北小河南路,1
来广营西路,1
来广营北路,1
西顶路,1
Linglong Road,1
中关村南三条,1
Zhixin Road,1
Huichengmen Bridge,1
西三环中路,1
西三环北路,1
闵庄路,1
N 4th Ring Rd. W,1
港沟街,1
冬奥村南街,1
Outer Deshengmen Str,1
Gaoliangqiao Road,1
雪池胡同,1
HAIDIAN St,1
胜古北路,1
Huayuandongxiang,1
Gulou East Street,1
Weigongcun Road,1
