name,count
Zhichun Road,545
Haidian South Road,129
中关村东路,127
北四环西路,111
苏州街,95
海淀大街,95
北四环西路辅路,82
知春路,72
万泉河路,67
Airport Expressway,52
East Dazhongsi Road,52
花园北路,48
Xinggui Road,47
North 4th Ring Road,44
Jingmi Road,42
Kexueyuan South Road,33
北四环东路,33
中关村南四街,28
北四环中路,28
Zhongguin Village East Road,20
Zhongguancun South Road,20
花园路,19
N 4th Ring Rd. E,18
Dongzhimenwai Xiejie,17
西三环北路,15
京密路,14
Dongzhimen Outer Street,14
Zhongguancun Main Street,10
中关村大街,9
学院路,8
Xiangheyuan Road,7
South Kexueyuan Road,7
Huixin Dongjie,6
港沟街,6
North 5th Ring Road,5
NE Dongzhimen Str,5
Huixin Xijie,5
Anding Lu,4
HAIDIAN South Road,4
大运村路,3
Yingxia Street,3
海淀黄庄东天桥,3
东直门外斜街,2
北三环西路,2
Ba Gou Road,2
中关村南三条,2
Weigongcun Road,2
Dongzhimen Inner Street,2
Anyuan lu,2
South Third Zhongguancun Street,2
North 4rd Ring Road,2
Huajiadi Jie,1
中关村北一街,1
North 3rd Ring Road,1
Xueyuan Road,1
双桥路,1
文化新大街,1
Chaoyang Road,1
东十里堡路,1
草房路,1
Wangzhuang Road,1
Dongzhong Jie,1
香河园路,1
Xuezhi Bridge,1
新东路,1
Xizhimen Outer Street Side Road,1
人民大学北路,1
北土城东路,1
京承高速,1
Laiguangying East Road,1
安立路,1
