name,count
中关村南三街,50562
中关村东路,7167
中关村南一条,3346
Zhongguancun South Road,3176
Zhichun Road,3107
中关村北大街辅路,2997
North 5th Ring Road,2291
Zhongguancun North Street,1692
Chengfu Road,1553
北四环西路,1332
Inner Xizhimen Str,1319
Zhongguin Village East Road,1251
中关村北二街,645
LongGang Road,614
苏州街,543
Xingjiekou South Street,532
中关村大街,529
Zhongguancun Main Street,528
Haidian South Road,517
知春路,510
Kexueyuan South Road,471
北四环西路辅路,452
Heqing Road,435
East Dazhongsi Road,407
罗庄中路,328
Shuangqing Road,314
清河南滨河路,289
荷清路,265
中关村南三条,235
科翔路,172
颐和园路,151
西直门内大街,150
North Shuangyushu Road,149
成府路,117
西三环北路,113
万泉河东滨河路,106
G6辅路,104
清华南路,89
龙岗路,89
Bahuashenchu,86
海淀三山五园绿道,70
N. Xingjiekou Str,64
中关村北一条,61
财经东路,58
信息路,57
中关村北二条,53
芙蓉北路,52
万泉河路,46
YongTai Zhuang East Road,45
邱门外大街,42
北三环西路,41
大运村路,36
海淀黄庄东天桥,33
西直门北大街,32
Xizhimen Outer Street Side Road,32
South Third Zhongguancun Street,32
Wangzhuang Road,30
昌运宫路,30
中关村南四街,29
Yingxia Street,27
海淀路,26
Xinxi Road,24
三才堂南街,21
East Zhongguancun Road,21
双清路,20
西直门外大街,18
清溪书屋路,17
清文路,16
西三环,14
清河桥,13
三才堂路,13
高梁桥斜街,11
八家东西线,11
Qinghua East Road,11
大泥湾路,11
清景路,10
Xizhimen Outer Avenue,9
双榆树北里四条,8
海淀大街,7
Jinsi Alley,7
校园东路,6
N. Beizhan St,6
燕东园北小街,6
Zijing Road,6
Shuangyushu Beili Wutiao,5
高梁桥路,5
中关村南一街,5
南草厂街,4
港沟街,4
Xizhimen South,4
知春里弯巷,4
人民大学北路,4
YongTai Zhuang West Road,3
Shuangyushu Beili Ertiao,3
双榆树北里六条,3
Linyedaxuebei Road,3
清华园石油小区路,3
西外南街,2
大钟寺北路,2
农大南路,2
Narnia,2
逸清南路,2
HAIDIAN South Road,2
东升南路,2
三义庙路,2
Zhongguancun Street,2
月泉路,2
清河南大街,2
YongTai Zhong Road,2
京新高速,2
上清桥滨河西路,1
Xueyuan South Road,1
Shang Di West Road,1
西二环,1
Xinggui Road,1
HAIDIAN St,1
Changwa Road,1
百胜村路,1
五道口北巷,1
