name,count
Zhanlanguan Road,13773
Baiwanzhuang Str,6165
展览馆路,5912
Nanlishi Road,5651
前门西大街,4767
Xuanwumen Inner Avenue,4611
Fuxingmen Inner Avenue,4548
Xijiaomin Xiang,3525
Yuetan North,3370
West Rendahuitang Road,2322
Qianmenxihe Str,2067
Outer Fuchengmen Str,1900
Sanlihe East Road,1870
阜成门外大街,1845
W. Qianmen Str,1688
Fuxingmen Outer Avenue,1636
Sanlihe East,1540
Shijingshan Road,1435
Xizhimen Avenue,1356
South Zhongguancun Street,1238
京开高速辅路,1217
Nanxinhua street,1051
中关村东路,966
S. Xinhua Str,897
复兴路,880
Fuxing Road,848
西直门外大街,821
莲石东路,771
Yuetan South Street,754
West Chang'an Street,623
宣武门东大街,606
E. Xuanwumen Str,572
N. Xinghua Str,571
Dahuisi Road,517
Chengfu Road,499
西二环,467
Outer Xizimen Str,456
Zhongguin Village East Road,398
Ba Da Chu Road,389
Sanlihe Road,380
西直门内大街,371
Daliushu Road,363
云景西路,348
鲁谷南路,345
Yuquan Road,313
北三环西路,311
Taiping Road,306
N. Xisi Str,299
东松树胡同,288
京开高速,288
Xingjiekou South Street,287
Yushuguan Bridge,275
高粱桥斜街,275
银河大街,270
Fushi Road,261
N. Fuchengmen Str,260
Bingbuwa Alley,255
Lianshi East Road,238
莲花池西路,234
高梁桥斜街,232
West 5th Ring Road,225
西直门外南路,224
Inner Xizhimen Str,215
复兴门北大街,210
Chongwenmen Outer Street,208
Zhongguancun Main Street,206
Xuanwumen West Avenue,205
高梁桥路,199
鲁谷路,199
East Chang'an Street,195
Beilishi Road,192
Yangzhuang Street,191
东三环北路,185
东中胡同,180
梅市口路,177
石景山路,176
西直门北大街,174
古城大街,174
Outer Xibianmen Str,169
莲石西路,162
银河南街,152
Pingguoyuan Street,151
Jinyu Hutong,150
西四环中路,149
南礼士路,149
Zaojunmiao Road,148
横二条,145
阜石路,140
S. Chegongzhuang Str,138
苏州街,138
Chegongzhuang Avenue,135
鲁谷东街,134
Caihuying South Road,131
青塔西路,130
G6辅路,126
平安胡同,122
Outer Chongwenmen Str,113
西井路,113
Lianhuachi East Road,110
三里河东路,110
北展广场,109
Lianhuachi West Road,108
三塔巷,108
京原路,108
Qianmen West Street,105
Jianguomen Outer Avenue,100
Xinjiekouwai Street,100
Zhichun Road,93
翠园西街,93
北礼士路,90
South Xueyuan Road,89
Middle Beiyingfang Str,88
宣武门西大街,87
Dongsishitiao Street,87
West Guangchang Road,85
Xueyuan Road,85
杨庄东街,84
西单北大街,83
Pingguoyuan South Road,81
Lincui Road,79
East Zhongguancun Road,78
香炉营头条,77
阜成门南大街,76
S. Xisi Str,75
North 3rd Ring Road,73
