name,count
Chengfu Road,2445
Zhongguin Village East Road,1907
Zhongguancun North Street,1465
北四环西路,1188
Airport Expressway,1047
中关村东路,1008
Shuangqing Road,759
South Zhongguancun Street,752
North 4th Ring Road,738
西四环北路,698
北四环东路,550
通燕高速,522
Dahuisi Road,502
颐和园路,485
South 5th Ring Road,387
Heqing Road,358
Jianguo Road,328
Zhongguancun Main Street,308
北四环中路,300
万泉河路,281
Zhichun Road,273
N 4th Ring Rd. E,267
West 5th Ring Road,255
Luhua Road,252
燕东园北小街,232
西直门外大街,212
Xizhimen Avenue,210
Sanlihe Road,198
北四环西路辅路,169
Donganmen Street,168
阜成门内大街,162
丰园路,162
Jingtong Expressway,144
京榆旧线,142
阜石路,137
物资学院路,135
Huixin Xijie,131
Inner Fuchengmen Str,128
Outer Xizimen Str,127
Houhai South,118
莲花池东路,112
Daliushu Road,109
Anyuan lu,103
Chaoyang North Road,102
丰葆路,97
科技大道,97
Xidawang Road,95
Dahua Road,87
东三环中路,86
圆明园西路,85
中关村北二街,85
展览馆路,81
South Kexueyuan Road,81
Qianhai East,81
N 4th Ring Rd. W,79
西四环南路,79
中关村大街,78
Huixin Dongjie,77
East Zhongguancun Road,74
清华南路,73
Xinhua North Road,73
Outer Di'anmen Str,72
Inner Chongwenmen Str,71
花园北路,69
北京民俗小吃街,67
京通快速,67
Mao'er Alley,66
North 4rd Ring Road,66
Xihai West,65
建国门北大街辅路,65
温榆河西路,64
西直门北大街,62
West Chang'an Street,62
葆台路,61
成府路,61
西四环中路,60
葆台西路,60
Fuxing Road,59
East Chang'an Street,59
通顺路,57
京承高速,56
Beijing-Lasa Expwy,55
海淀三山五园绿道,54
北三环西路,51
Kexueyuan South Road,51
Zhixin Road,50
北土城西路,49
Tanghua Alley,48
朝阳路,47
中关村北大街辅路,46
首都体育馆南路,46
Fushi Road,45
Zaojunmiao Road,45
同庆街,44
知春路,43
East Dazhongsi Road,43
Xinjiekouwai Street,41
G6辅路,41
建国路辅路,40
West Side of West Sea,39
Yuanmingyuan West Road,39
裕民中路,39
财经东路,39
Yangfang Alley,39
Qinghua West Road,38
海淀路,38
机场第二高速,38
Jianguomen Inner Avenue,37
芙蓉北路,36
1st Shuangyushu Str,36
莲石东路,35
京垡路,34
煤市街,33
Zhixin East Road,32
豆角胡同,31
Jinsong Road,31
Qinghua East Road,30
North 5th Ring Road,30
Qianhai West Street,30
Houhaibeiyuan,29
北三环中路,28
Deshengmen Inner Street,27
花园东路,27
Dongjiaomin Alley,26
天秀路,26
中关村北一条,26
Xinggui Road,25
