lat,long,datetime,velocity,path number,name,type,area1,area2,area3,area4,is_outside
39.984071,116.320147,2008-10-23 06:59:39,1.590675969209957,1,北四环西路,road,,,,,0
39.98414,116.320122,2008-10-23 06:59:44,0.6149626425782557,1,北四环西路,road,,,,,0
39.984167,116.320114,2008-10-23 06:59:49,19.486726622402703,1,北四环西路,road,,,,,0
39.98497,116.319654,2008-10-23 06:59:54,2.3654492764666744,1,中国科学院电子科学研究所,research_institute,,,,,0
39.984874,116.319714,2008-10-23 06:59:59,0.2551189914145072,1,中国科学院电子科学研究所,research_institute,,,,,0
39.98487,116.319728,2008-10-23 07:00:04,1.1689416194090845,1,中国科学院电子科学研究所,research_institute,,,,,0
39.984821,116.319703,2008-10-23 07:00:09,0.7920044842010582,1,中国科学院电子科学研究所,research_institute,,,,,0
39.984787,116.319717,2008-10-23 07:00:14,1.0031813046863989,1,北四环西路辅路,road,,,,,0
39.98483,116.319735,2008-10-23 07:00:19,1.844887192233547,1,中国科学院电子科学研究所,research_institute,,,,,0
39.984911,116.319711,2008-10-23 07:00:24,0.2034454659359666,1,中国科学院电子科学研究所,research_institute,,,,,0
39.984917,116.31972,2008-10-23 07:00:29,0.6034664176748592,1,中国科学院电子科学研究所,research_institute,,,,,0
39.984944,116.319724,2008-10-23 07:00:34,1.3263611714987067,1,中国科学院电子科学研究所,research_institute,,,,,0
39.985,116.319697,2008-10-23 07:00:39,1.46276279800542,1,中国科学院电子科学研究所,research_institute,,,,,0
39.985063,116.319672,2008-10-23 07:00:44,0.5808586677778075,1,中国科学院电子科学研究所,research_institute,,,,,0
39.985088,116.319682,2008-10-23 07:00:49,1.1142486239135112,1,中国科学院电子科学研究所,research_institute,,,,,0
39.985136,116.319663,2008-10-23 07:00:54,1.535181257864561,1,中国科学院电子科学研究所,research_institute,,,,,0
39.985199,116.319626,2008-10-23 07:00:59,0.3418557848164888,1,中国科学院电子科学研究所,research_institute,,,,,0
39.98521,116.31964,2008-10-23 07:01:04,0.8660679142931915,1,中国科学院电子科学研究所,research_institute,,,,,0
