type,count
park,13567
commercial,12306
residential,4960
railway,1801
university,1376
airfield,1000
brownfield,778
parking,544
school,500
construction,487
industrial,404
forest,326
retail,224
attraction,219
golf_course,212
military,195
train_station,121
grass,119
hospital,104
apartments,84
hotel,79
college,76
office,74
public_building,71
research_institute,70
fuel,68
tunnel,52
electronics,44
zoo,39
kindergarten,32
yes,24
pitch,23
plant_nursery,21
government,21
arts_centre,19
fire_station,19
meadow,16
farmyard,15
historic_area,13
garden,9
mall,9
transportation,8
funeral_directors,7
nature_reserve,5
resort,4
department_store,4
bank,3
bicycle_parking,2
stadium,2
restaurant,2
marketplace,2
farmland,1
sports_centre,1
museum,1
house,1
wastewater_plant,1
bus_station,1
