type,count
residential,9163
park,5912
commercial,3329
hotel,2161
retail,1165
university,1106
railway,584
forest,575
train_station,501
military,469
hospital,317
construction,301
research_institute,215
golf_course,181
parking,178
garden,178
industrial,106
school,105
fuel,52
meadow,47
grass,43
police,39
transportation,39
apartments,19
college,15
attraction,15
office,10
brownfield,9
historic_area,8
telecommunication,6
greenfield,5
bus_station,5
water_works,5
airfield,4
mall,4
landfill,3
library,2
yes,2
bicycle_parking,2
fire_station,2
tower,1
plant_nursery,1
track,1
sports_centre,1
monument,1
pitch,1
roof,1
place_of_worship,1
