type,count
commercial,53178
university,17518
apartments,4993
residential,4706
park,2992
school,2301
attraction,1705
parking,1694
zoo,1433
industrial,1359
retail,1348
research_institute,1111
office,604
railway,590
fire_station,574
house,476
train_station,367
ruins,363
electronics,324
hospital,251
police,206
fuel,187
hotel,154
department_store,119
construction,91
brownfield,85
transportation,24
toilets,19
college,17
forest,16
fitness_station,13
yes,13
mall,9
place_of_worship,8
hostel,7
pitch,7
grass,3
sports_centre,1
bicycle_parking,1
kindergarten,1
