type,count
residential,21158
park,13965
forest,6341
parking,3427
commercial,2455
industrial,2051
military,1828
construction,1715
university,1560
hospital,1413
school,805
railway,797
train_station,580
retail,515
brownfield,495
attraction,422
airfield,373
marketplace,358
research_institute,299
driver_training,272
college,259
golf_course,216
garden,131
grass,130
mall,127
fuel,95
bus_station,80
hotel,73
theme_park,69
meadow,53
zoo,47
roof,30
apartments,25
plant_nursery,22
orchard,20
place_of_worship,19
department_store,17
sports_centre,17
stadium,12
historic_area,11
supermarket,11
tunnel,11
office,10
pitch,10
kindergarten,10
water_works,9
research,8
wastewater_plant,7
public_building,6
fire_station,4
religious,4
recreation_ground,3
bungalow,3
transportation,3
planetarium,2
house,2
farmyard,2
ruins,1
warehouse,1
shelter,1
furniture,1
bicycle_parking,1
car,1
fast_food,1
farmland,1
theatre,1
vehicle_inspection,1
track,1
restaurant,1
