type,count
university,82632
attraction,6327
commercial,2695
park,1257
residential,957
zoo,834
train_station,705
retail,546
parking,464
hospital,399
railway,344
mall,286
research_institute,240
driving_school,202
apartments,137
bicycle_parking,95
garden,89
transportation,87
brownfield,74
construction,64
forest,50
grass,38
school,24
cheese,20
restaurant,12
college,12
meadow,10
library,7
hotel,5
fuel,5
driver_training,5
police,4
military,2
museum,2
community_centre,2
bus_station,1
office,1
ticket,1
yes,1
