type,count
park,10384
residential,7001
garden,4656
university,2694
commercial,2411
attraction,1108
retail,763
hospital,630
parking,620
train_station,514
construction,323
forest,321
research_institute,245
supermarket,227
college,179
school,156
railway,144
sports_centre,110
apartments,105
police,75
grass,67
office,60
hotel,56
industrial,53
military,52
music_school,48
house,41
bus_station,37
fuel,35
zoo,29
tunnel,26
golf_course,25
brownfield,24
historic_area,23
transportation,22
museum,21
airfield,20
garages,20
bicycle_parking,15
arts_centre,14
pitch,14
meadow,8
clinic,7
hostel,6
courthouse,6
electronics,4
theme_park,3
mall,3
kindergarten,3
water_works,2
stadium,2
city_gate,2
farmland,2
toilets,2
theatre,1
department_store,1
fire_station,1
