type,count
commercial,85955
residential,49510
park,46398
retail,14536
construction,6773
forest,3480
garden,3382
driver_training,3349
train_station,2699
university,2507
attraction,2314
school,2138
railway,1804
brownfield,1753
parking,1659
mall,1489
supermarket,1228
hospital,1169
grass,1038
historic_area,760
industrial,753
apartments,749
golf_course,685
government,530
bus_station,471
military,390
transportation,386
museum,341
hotel,313
research_institute,283
fuel,222
recreation_ground,208
bank,173
zoo,129
electronics,126
house,108
office,106
bicycle_parking,99
civic_admin,96
college,94
restaurant,86
garages,61
sports_centre,35
arts_centre,34
marketplace,33
police,32
gift,31
meadow,30
yes,29
music_school,21
kindergarten,19
pitch,17
department_store,16
water_works,16
tunnel,14
roof,9
flowerbed,9
governmental,9
religious,8
theatre,8
nightclub,7
place_of_worship,6
fire_station,4
stadium,3
monument,3
fountain,2
cheese,1
citywalls,1
books,1
wall,1
warehouse,1
farmland,1
