type,count
commercial,98328
university,43526
residential,5664
train_station,2182
industrial,2164
park,1996
zoo,1582
retail,1117
research_institute,978
theme_park,732
parking,721
railway,631
school,498
hotel,341
apartments,276
construction,275
pitch,258
bicycle_parking,248
hospital,245
mall,214
forest,188
office,140
military,123
garden,101
brownfield,92
bus_station,87
grass,86
library,79
golf_course,60
supermarket,60
electronics,60
transportation,55
house,34
attraction,26
place_of_worship,18
college,15
government,15
works,12
garages,12
yes,11
department_store,10
police,10
fuel,7
arts_centre,7
nature_reserve,4
stadium,3
fitness_centre,2
religious,2
dentist,2
clinic,1
cemetery,1
museum,1
farmland,1
