type,count
railway,8166
commercial,7063
park,3812
university,2631
train_station,1677
residential,1113
mall,993
retail,918
school,889
transportation,719
forest,652
parking,482
construction,228
bicycle_parking,203
brownfield,164
industrial,155
electronics,108
military,95
grass,68
research_institute,54
attraction,52
apartments,43
hotel,41
recreation_ground,33
place_of_worship,29
hospital,26
music_school,23
pitch,16
garden,15
office,13
museum,13
house,9
bus_station,6
police,6
department_store,4
garages,4
fuel,4
pharmacy,4
greenhouse_horticulture,2
college,2
dentist,1
citywalls,1
bungalow,1
orchard,1
