type,count
university,114638
residential,23280
commercial,7461
park,2779
construction,1083
retail,881
school,600
train_station,556
attraction,552
parking,456
nature_reserve,455
railway,346
research_institute,223
garden,218
grass,197
military,176
library,170
college,152
airfield,149
bus_station,127
hospital,107
apartments,102
forest,100
industrial,81
hotel,81
police,34
theme_park,30
bicycle_parking,17
kindergarten,16
fuel,15
tunnel,15
zoo,15
department_store,11
brownfield,10
transportation,9
city_gate,6
mall,4
water_works,4
place_of_worship,4
golf_course,4
electronics,3
farmland,3
bungalow,3
office,2
fire_station,2
wall,2
ice_rink,2
ruins,1
post_office,1
dormitory,1
orchard,1
theatre,1
ticket,1
flowerbed,1
stadium,1
