type,count
university,139521
residential,26298
commercial,12218
park,4933
research_institute,1889
retail,1814
attraction,1193
school,1069
college,834
train_station,421
parking,379
apartments,319
hospital,273
railway,268
military,247
telecommunication,181
mall,177
grass,167
forest,148
construction,137
garden,110
dormitory,68
industrial,63
brownfield,60
house,47
office,41
garages,39
research,39
governmental,32
sports_centre,30
bus_station,20
hotel,19
religious,16
transportation,16
department_store,15
electronics,14
city_gate,13
meadow,11
yes,10
fuel,7
place_of_worship,4
bicycle_parking,4
supermarket,3
pitch,3
public_building,3
recreation_ground,2
golf_course,2
historic_area,2
police,2
restaurant,2
stadium,2
community_centre,1
hostel,1
pharmacy,1
museum,1
