type,count
residential,27622
commercial,22879
park,6635
university,2321
retail,1563
house,1477
train_station,1406
parking,1084
research_institute,1055
garden,1007
attraction,823
railway,496
hospital,488
apartments,355
construction,341
office,341
school,304
forest,251
mall,239
airfield,182
hotel,173
grass,164
bus_station,155
fuel,132
college,107
museum,98
industrial,87
supermarket,86
transportation,78
brownfield,60
police,57
nature_reserve,56
military,56
bicycle_parking,37
restaurant,37
pitch,35
yes,32
garages,24
electronics,20
sports_centre,19
place_of_worship,18
historic_area,12
arts_centre,11
car_wash,9
meadow,8
library,7
zoo,7
fire_station,5
tunnel,4
ruins,4
pumping_station,3
governmental,2
public_building,2
golf_course,1
monitoring_station,1
dormitory,1
kindergarten,1
religious,1
orchard,1
toilets,1
stadium,1
public,1
