type,count
university,64251
residential,5466
commercial,2953
nature_reserve,1607
park,1285
forest,986
retail,980
library,722
parking,435
train_station,380
construction,332
school,179
hospital,157
brownfield,150
electronics,105
garden,102
railway,97
hotel,88
research_institute,81
military,77
kindergarten,70
apartments,63
garages,59
works,58
grass,43
transportation,43
bus_station,35
bicycle_rental,27
place_of_worship,26
water_works,23
attraction,18
restaurant,17
tunnel,16
toilets,16
mall,13
college,13
bicycle_parking,11
ice_rink,11
pitch,10
hostel,8
industrial,5
building,3
fire_station,3
tea,3
office,1
wall,1
