type,count
residential,39992
university,10750
commercial,7307
hospital,6315
retail,3856
garden,3676
park,3231
research_institute,3135
train_station,2668
attraction,2457
house,994
sports_centre,877
forest,845
museum,738
parking,683
construction,627
apartments,617
grass,567
school,518
office,517
military,478
police,340
mall,243
transportation,217
bicycle_parking,167
library,146
industrial,140
bus_station,138
brownfield,136
hotel,118
electronics,99
zoo,98
college,95
nature_reserve,78
railway,70
fuel,55
pitch,50
meadow,44
religious,39
farmland,34
supermarket,30
historic_area,22
recreation_ground,22
airfield,19
kindergarten,17
place_of_worship,16
public_building,15
department_store,13
dentist,12
garages,11
stadium,8
tea,8
dormitory,6
greenfield,6
yes,5
fire_station,4
golf_course,3
warehouse,2
governmental,2
waste_transfer_station,1
fitness_centre,1
bungalow,1
orchard,1
