type,count
university,14353
commercial,7031
research_institute,4554
train_station,1290
industrial,1241
residential,1091
driving_school,644
park,583
forest,206
hotel,200
parking,192
railway,174
construction,126
mall,103
bicycle_parking,95
retail,85
brownfield,66
attraction,44
school,44
garden,40
pitch,18
bus_station,16
meadow,16
apartments,14
farmland,11
stadium,10
hospital,9
fuel,8
college,6
transportation,6
public_building,4
office,2
house,1
bungalow,1
place_of_worship,1
roof,1
restaurant,1
police,1
