type,count
residential,59437
park,18142
university,15789
commercial,12631
hospital,5671
retail,2236
attraction,2064
school,1684
train_station,1632
parking,1215
music_school,1044
airfield,1043
railway,1006
construction,925
apartments,782
forest,655
hotel,604
fuel,571
grass,493
historic_area,460
house,254
kindergarten,210
mall,205
transportation,167
military,150
museum,110
college,109
yes,91
bus_station,87
office,74
sports_centre,71
library,69
research_institute,67
department_store,66
industrial,59
electronics,53
supermarket,52
place_of_worship,46
recycling,46
civic_admin,43
bicycle_parking,39
fire_station,33
golf_course,30
meadow,24
garden,22
governmental,21
recreation_ground,21
brownfield,14
arts_centre,13
garages,11
pitch,9
waste_transfer_station,4
religious,2
parking_space,2
roof,2
public,1
tea,1
telecommunication,1
memorial,1
citywalls,1
wastewater_plant,1
public_bookcase,1
