type,count
university,13035
residential,2572
commercial,2493
park,1616
retail,909
hospital,840
parking,314
apartments,272
train_station,250
school,232
research_institute,202
works,81
mall,44
garden,33
meadow,29
hotel,28
electronics,26
warehouse,26
construction,21
transportation,20
military,19
brownfield,18
attraction,14
fuel,11
pitch,8
kindergarten,8
railway,8
grass,7
college,5
recreation_ground,5
forest,3
theatre,3
hostel,2
zoo,2
restaurant,2
house,2
dormitory,2
industrial,1
bicycle_parking,1
police,1
