type,count
university,10170
industrial,4218
park,4126
research_institute,3002
commercial,1392
hospital,1370
residential,651
attraction,546
retail,366
construction,335
parking,237
train_station,231
forest,183
military,148
brownfield,63
school,49
bicycle_parking,41
mall,38
apartments,27
museum,21
college,17
pitch,17
grass,17
stadium,15
hotel,12
railway,10
golf_course,8
garden,7
transportation,6
meadow,2
pharmacy,2
electronics,2
roof,2
police,1
sports_centre,1
farmland,1
kindergarten,1
place_of_worship,1
fuel,1
playground,1
farmyard,1
garages,1
greenfield,1
bus_station,1
