type,count
university,198016
residential,11541
commercial,10721
park,5829
attraction,2915
retail,2124
school,1878
train_station,1551
hospital,1462
mall,1352
parking,1187
zoo,991
construction,981
railway,831
research_institute,786
apartments,425
bicycle_parking,318
driving_school,297
forest,219
transportation,181
brownfield,172
garden,152
grass,138
college,118
military,97
sports_centre,97
theme_park,52
industrial,49
hotel,46
library,45
meadow,36
fuel,25
cheese,20
cinema,16
restaurant,15
planetarium,13
electronics,9
yes,9
police,8
ticket,7
governmental,5
driver_training,5
museum,5
pitch,4
stadium,4
office,4
roof,4
toilets,3
hostel,3
community_centre,2
bungalow,2
dormitory,2
bus_station,2
religious,1
garages,1
citywalls,1
ruins,1
place_of_worship,1
telecommunication,1
pharmacy,1
public_building,1
