type,count
university,5318
commercial,3606
residential,1684
park,647
garden,478
research_institute,250
attraction,169
train_station,133
retail,85
forest,75
golf_course,68
parking,54
library,52
school,47
construction,47
brownfield,34
military,33
railway,24
grass,24
place_of_worship,23
apartments,22
hospital,17
zoo,13
college,11
stadium,10
industrial,10
nature_reserve,9
religious,9
restaurant,6
fuel,5
police,5
bicycle_parking,4
kindergarten,3
pitch,3
transportation,3
office,2
yes,2
planetarium,2
bus_station,2
ice_rink,1
bank,1
farmland,1
mall,1
fast_food,1
water_works,1
civic,1
greenfield,1
meadow,1
