type,count
university,180206
commercial,15174
residential,7764
park,2233
parking,1458
driving_school,1302
mall,1111
hospital,1100
train_station,990
retail,953
railway,895
construction,820
research_institute,705
school,510
attraction,469
military,467
apartments,415
bicycle_parking,305
garden,244
zoo,217
brownfield,195
forest,188
transportation,114
grass,99
supermarket,79
college,72
restaurant,44
police,37
fuel,35
yes,32
driver_training,29
hotel,25
meadow,24
civic_admin,20
pitch,19
industrial,18
historic_area,14
planetarium,11
roof,9
house,9
fire_station,8
office,7
place_of_worship,7
farmland,6
toilets,6
cheese,5
ticket,5
golf_course,3
government,3
city_gate,3
dormitory,1
electronics,1
public_building,1
museum,1
citywalls,1
stadium,1
