type,count
commercial,11170
industrial,6644
university,3342
residential,1370
train_station,1279
park,985
hotel,645
nature_reserve,524
parking,436
research_institute,291
mall,245
school,190
construction,141
hospital,137
forest,116
department_store,103
bicycle_parking,58
retail,50
garages,50
college,46
airfield,41
garden,39
pitch,37
apartments,32
attraction,24
gasometer,14
meadow,13
brownfield,12
fuel,10
bus_station,9
farmland,8
place_of_worship,7
tunnel,5
transportation,3
police,3
yes,2
telecommunication,2
house,1
orchard,1
grass,1
