type,count
residential,7317
commercial,4236
research_institute,1417
parking,691
park,675
forest,566
retail,390
college,344
fuel,319
police,246
train_station,148
attraction,140
meadow,99
military,77
hotel,75
university,63
school,56
office,55
garden,47
zoo,46
public_building,41
hospital,38
mall,38
industrial,36
department_store,28
kindergarten,22
construction,17
grass,16
house,15
railway,9
transportation,8
apartments,5
greenfield,4
telecommunication,4
nature_reserve,4
tunnel,4
furniture,3
airfield,1
car,1
