type,count
commercial,18084
residential,13147
park,7256
attraction,2324
apartments,1222
train_station,1161
retail,1077
railway,865
museum,814
university,594
arts_centre,439
parking,399
mall,382
electronics,301
transportation,237
industrial,194
forest,183
school,159
hotel,145
governmental,144
hospital,129
fuel,94
water_park,68
office,52
construction,50
grass,39
house,28
military,24
wall,23
religious,22
restaurant,18
garages,17
cheese,12
police,11
golf_course,10
bicycle_parking,10
pitch,7
meadow,6
bus_station,5
yes,3
college,1
