type,count
commercial,10853
residential,3446
university,3421
park,1479
forest,862
parking,541
research_institute,471
construction,462
attraction,352
grass,338
school,274
railway,231
college,230
train_station,197
brownfield,170
transportation,165
retail,159
hospital,153
apartments,127
mall,80
military,73
garden,70
golf_course,69
research,65
greenfield,54
industrial,36
hotel,33
farmyard,32
zoo,31
water_works,26
stadium,18
orchard,18
bicycle_parking,17
fuel,16
tunnel,16
dormitory,11
police,10
library,10
cemetery,10
winter_sports,10
department_store,10
marketplace,8
farmland,7
airfield,6
restaurant,6
recreation_ground,6
electronics,5
sports_centre,5
house,5
social_facility,4
place_of_worship,4
kindergarten,2
office,2
roof,1
pitch,1
works,1
