type,count
park,27807
commercial,13047
residential,10338
brownfield,4763
construction,3177
retail,3007
research_institute,2792
university,2629
parking,2191
train_station,1751
forest,1424
railway,849
college,591
school,472
works,429
sports_centre,419
grass,406
military,260
golf_course,221
hospital,208
industrial,161
apartments,150
attraction,139
mall,103
garden,90
fuel,84
farmyard,82
hotel,71
transportation,43
meadow,37
museum,34
airfield,31
gasometer,24
house,23
restaurant,21
pitch,15
religious,15
bus_station,14
social_facility,13
stadium,13
department_store,12
courthouse,12
kindergarten,12
office,12
police,11
flowerbed,11
fire_station,7
citywalls,7
electronics,7
pharmacy,6
arts_centre,6
place_of_worship,6
bicycle_parking,6
waste_transfer_station,5
telecommunication,5
supermarket,5
tunnel,4
car,4
warehouse,4
farmland,4
tower,3
water_works,3
apartment,3
orchard,2
roof,1
zoo,1
governmental,1
clothes,1
