type,count
residential,11836
attraction,3215
university,2182
park,1021
parking,695
commercial,490
research_institute,288
train_station,265
apartments,206
fuel,187
retail,181
office,165
forest,131
sports_centre,118
hospital,76
industrial,67
mall,59
garages,58
bus_station,49
police,47
school,42
railway,37
hotel,36
house,33
bicycle_parking,30
meadow,21
electronics,20
grass,12
tunnel,10
research,9
construction,7
transportation,7
brownfield,6
garden,5
museum,4
religious,3
pitch,2
zoo,1
roof,1
place_of_worship,1
orchard,1
governmental,1
toilets,1
