type,count
residential,2586
commercial,1583
park,899
train_station,678
construction,668
hospital,625
university,490
retail,425
golf_course,262
college,196
parking,141
apartments,90
research_institute,85
forest,81
school,73
electronics,71
industrial,62
meadow,60
railway,47
library,33
military,22
fuel,22
attraction,21
office,18
brownfield,14
police,13
garden,9
house,8
hotel,5
transportation,4
airfield,4
bus_station,3
grass,2
museum,2
kindergarten,2
courthouse,2
bicycle_parking,2
public_building,2
pitch,2
department_store,1
ice_rink,1
place_of_worship,1
mall,1
