type,count
university,12299
residential,1802
commercial,1386
park,884
research_institute,463
school,340
train_station,318
retail,282
hospital,195
grass,182
house,159
construction,157
meadow,153
office,132
attraction,127
pitch,113
hotel,94
sports_centre,91
mall,75
parking,59
police,57
kindergarten,50
fuel,47
industrial,46
transportation,44
forest,43
apartments,42
college,36
yes,35
brownfield,29
department_store,28
bicycle_parking,22
place_of_worship,12
electronics,11
music_school,10
garden,9
railway,6
bus_station,4
garages,3
fire_station,2
