type,count
residential,78032
commercial,43260
forest,15029
research_institute,14958
university,8358
school,8155
construction,835
attraction,757
retail,457
apartments,375
parking,263
park,224
industrial,169
train_station,164
police,136
college,111
mall,89
bicycle_parking,37
garden,34
hospital,29
place_of_worship,25
grass,15
house,12
fuel,10
transportation,7
military,7
electronics,7
brownfield,7
railway,5
meadow,4
hotel,3
restaurant,3
roof,2
bus_station,2
public_building,2
kindergarten,1
supermarket,1
pitch,1
