type,count
university,12903
park,2206
commercial,1736
residential,1166
school,592
attraction,207
parking,156
train_station,144
construction,105
hotel,98
apartments,91
research_institute,77
military,75
retail,69
golf_course,58
college,37
forest,36
electronics,29
hospital,26
office,24
railway,23
fuel,23
industrial,19
grass,17
brownfield,13
bicycle_parking,13
house,12
garden,10
zoo,9
garages,8
mall,7
museum,7
department_store,5
yes,5
fire_station,4
pitch,3
transportation,3
stadium,3
dormitory,3
toilets,2
clinic,2
supermarket,1
telecommunication,1
community_centre,1
governmental,1
airfield,1
